Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,FoxO signaling pathway,0.5682638973058904,2.2981820390453778,1.000000e-03,3.482283e-02,1.100000e-02,63/130,22.10%,AKT3;SETD7;INSR;IRS1;PRKAA2;TGFB3;IRS2;IGF1R;FOXO1;PLK2;SMAD3;PIK3CA;TGFBR1;KRAS;EP300;PCK1;CREBBP;PIK3CB;SOS1;PLK4;TGFB2;PRKAB2;PLK1;GABARAPL1;CHUK;SIRT1;PIK3R1;FOXO3;MAPK8;RAF1;MDM2;USP7;PDPK1;BCL2L11;STK4;CCND2;RAG1;CCND1;FBXO32;CCNG2;SMAD4;HOMER1;TGFBR2;PRKAA1;EGFR;ATM;S1PR1;CCNB2;PTEN;IGF1;FOXO4;CCNB1;SOS2;AKT1;RBL2;IL6;IL7R;CDKN1A;STAT3;KLF2;BRAF;FBXO25;MAPK9
gsea,Hedgehog signaling pathway,0.7025381927119746,2.242323789740606,1.000000e-03,3.115727e-02,2.100000e-02,33/56,15.21%,GLI2;EVC;GSK3B;CSNK1G1;MEGF8;CSNK1A1;GPR161;CDON;BCL2;BTRC;BOC;GRK3;CUL3;KIF3A;GLI1;CSNK1A1L;FBXW11;GAS1;SPOPL;SUFU;CSNK1G3;CCND2;PRKACB;PTCH1;SCUBE2;GLI3;CCND1;HHAT;EVC2;SMO;SMURF1;MOSMO;PRKACG
gsea,Small cell lung cancer,0.6113207839301601,2.191684682628295,1.000000e-03,3.604468e-02,3.400000e-02,38/92,12.55%,LAMA4;LAMB1;AKT3;ITGA6;COL4A1;COL4A2;LAMA3;ITGA2;CDK6;ITGB1;PIK3CA;LAMC2;RARB;LAMB4;TRAF6;LAMB3;FN1;PTGS2;APAF1;COL4A5;TRAF3;BCL2;LAMC1;LAMA2;PIK3CB;LAMA1;POLK;CHUK;ITGAV;PIK3R1;NFKB1;E2F3;MYC;XIAP;CCND1;COL4A6;RB1;CASP3
gsea,Adipocytokine signaling pathway,0.5512557143304445,2.1815471770399046,1.000000e-03,3.115727e-02,3.700000e-02,24/69,13.89%,AKT3;IRS1;PRKAA2;IRS2;PPARGC1A;PTPN11;SLC2A1;PCK1;ACSL4;PPARA;LEPR;CPT1A;ACSL3;PRKAB2;MTOR;CHUK;ACACB;NFKB1;ADIPOR2;MAPK8;CAMKK2;PRKCQ;PRKAA1;JAK2
gsea,Oxidative phosphorylation,-0.5609897051971979,-2.164838996424734,1.405622e-02,1.996230e-02,3.500000e-02,72/120,19.83%,NDUFA11;ATP5PO;ATP6V0C;NDUFA2;UQCR10;NDUFB8;NDUFS7;NDUFS8;ATP5MG;NDUFB1;LHPP;NDUFB9;ATP5MF;ATP6V1C2;COX5B;ATP5ME;NDUFB7;NDUFB2;COX6A2;UQCR11;ATP6V1F;ATP6V0B;ATP5F1D;COX4I2;NDUFA3;ATP5MC1;NDUFA9;NDUFA7;ATP5PF;NDUFS6;ATP5PD;NDUFS3;NDUFB11;NDUFB6;NDUFB5;SDHA;COX6C;TCIRG1;UQCRQ;COX8A;COX7B2;NDUFA6;NDUFA4;ATP5F1E;NDUFV1;NDUFA13;COX7A1;SDHD;NDUFV3;COX7A2;COX6B1;COX7B;NDUFB4;ATP6V0E2;NDUFB10;COX4I1;NDUFC2;NDUFS5;CYC1;COX6A1;NDUFA12;NDUFA1;SDHB;ATP6V0E1;COX11;ATP6V1E2;NDUFAB1;ATP5MC2;COX8C;ATP6V0D2;ATP6V1E1;COX7C
gsea,Prostate cancer,0.5795291972496636,2.1559871315629158,1.000000e-03,3.408972e-02,4.800000e-02,54/97,23.05%,AKT3;ZEB1;IL1R2;IGF1R;GSK3B;PDGFRB;FOXO1;PIK3CA;FGFR1;KRAS;EP300;PDGFRA;BCL2;CREBBP;PIK3CB;ERG;PDGFB;SOS1;PDGFC;CREB3L2;CREB5;NKX3-1;MTOR;TGFA;TCF7L2;LEF1;CHUK;PIK3R1;NFKB1;CREB3L1;CREB1;RAF1;MDM2;PDPK1;E2F3;AR;CCND1;PDGFA;RB1;MMP9;EGFR;PTEN;IGF1;TCF7;SOS2;MMP3;AKT1;CTNNB1;CDKN1A;HSP90AA1;ETV5;BRAF;E2F2;TCF7L1
gsea,Central carbon metabolism in cancer,0.5531711218713471,2.125158636871991,1.000000e-03,4.245942e-02,6.300000e-02,25/69,10.46%,AKT3;PFKP;PDGFRB;PIK3CA;SLC2A1;FGFR1;KRAS;KIT;PDGFRA;HKDC1;PIK3CB;RET;LDHAL6B;HK2;TIGAR;PFKM;MTOR;SLC7A5;PGAM4;PIK3R1;RAF1;HIF1A;MYC;NTRK3;PDK1
gsea,Thyroid hormone signaling pathway,0.5644678813170221,2.1128076384504366,1.000000e-03,4.136848e-02,6.800000e-02,46/121,10.44%,MED13L;PLCD3;AKT3;PFKP;DIO2;NOTCH1;MED1;GSK3B;NCOR1;FOXO1;PIK3CA;SLC2A1;NOTCH3;NOTCH2;KRAS;EP300;MED13;SLC16A2;CREBBP;ATP2A2;NCOA3;PIK3CB;MED14;MED12;PFKM;MTOR;NOTCH4;ATP1A1;ATP2A3;SIN3A;ITGAV;PLCB1;PIK3R1;RAF1;MDM2;NCOA1;PLCE1;HIF1A;PDPK1;PLCB4;MYC;PRKACB;CCND1;TBC1D4;THRB;PLN
gsea,Mucin type O-glycan biosynthesis,0.6582110607644278,2.075701686604672,1.000000e-03,5.727439e-02,9.300000e-02,20/36,22.85%,GALNT4;GALNT7;ST3GAL1;GALNT15;GALNT2;GALNT5;GCNT3;GALNT17;POC1B-GALNT4;GALNTL6;GCNT1;GALNT1;ST6GALNAC3;ST3GAL2;GALNT13;B3GNT3;B4GALT5;GALNT14;B3GNT6;GALNT10
gsea,Breast cancer,0.540690155756224,2.065599769539826,2.087683e-03,5.661256e-02,9.800000e-02,78/147,24.23%,AKT3;TNFSF11;JAG1;APC;CDK6;NOTCH1;IGF1R;GSK3B;PIK3CA;FZD10;FGFR1;NOTCH3;NOTCH2;CSNK1A1;KRAS;FZD7;KIT;FGF2;NCOA3;PIK3CB;SOS1;FGF1;SP1;FLT4;FZD3;MTOR;NOTCH4;FZD4;TCF7L2;LEF1;HEYL;POLK;FGF23;SHC4;FGF7;PIK3R1;CSNK1A1L;FZD1;RAF1;BRCA1;HEY2;NCOA1;LRP6;E2F3;MYC;SHC1;DLL4;CCND1;BRCA2;RB1;FGF16;EGFR;WNT9B;FGF10;PTEN;LRP5;IGF1;WNT2;TCF7;DLL1;SOS2;WNT9A;JAG2;APC2;AKT1;FGF5;CTNNB1;CDKN1A;FZD5;FZD6;BRAF;FOS;PGR;WNT7A;E2F2;TCF7L1;FGF21;WNT5B
