Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Myogenesis,0.6406498302088364,2.4548359686148062,1.000000e-03,2.991537e-03,2.000000e-03,117/198,21.65%,SGCD;MYH11;CASQ2;LAMA2;MYOZ1;CDH13;SGCA;APLNR;SORBS1;CACNA1H;MEF2C;MYLK;SSPN;DAPK2;SGCG;COL15A1;FHL1;DES;CASQ1;MYL4;MYL3;ACTN2;NOTCH1;GJA5;CRYAB;TNNI2;ITGA7;CAV3;FXYD1;TNNT3;MYH3;PYGM;GNAO1;VIPR1;MYBPH;PTGIS;HSPB8;SPEG;IGF1;FABP3;PPP1R3C;AK1;ACTC1;ADCY9;LSP1;COX7A1;TNNC1;DENND2B;ADAM12;COL6A3;CKMT2;DMD;MRAS;TCAP;CHRNA1;MYH1;AEBP1;SOD3;COL4A2;FGF2;SLN;HRC;TAGLN;LDB3;RYR1;PSEN2;TNNC2;DMPK;CKB;COL1A1;ACTN3;ACHE;HSPB2;HBEGF;MYF6;MYH2;CD36;SCHIP1;BDKRB2;COL6A2;SPDEF;TGFB1;MYOM2;PPFIA4;PDLIM7;KIFC3;MYBPC3;EFS;ACTA1;EPHB3;COL3A1;CTF1;PTP4A3;SPHK1;LARGE1;NAV2;DTNA;CFD;TSC2;SORBS3;CLU;SMTN;HDAC5;BHLHE40;IGFBP7;PVALB;CKM;SVIL;SPARC;TNNT2;TNNI1;PKIA;MYH4;TPM2;FOXO4;ITGB5;GSN
gsea,Notch Signaling,0.7095703341981776,2.416171487606491,1.000000e-03,2.991537e-03,3.000000e-03,20/32,19.62%,WNT2;NOTCH1;ST3GAL6;HEYL;MAML2;DLL1;WNT5A;FZD1;PRKCA;FZD7;PSEN2;DTX4;JAG1;DTX1;LFNG;CCND1;NOTCH2;HES1;ARRB1;NOTCH3
gsea,Apical Junction,0.5952111898510289,2.3924790857190796,1.000000e-03,2.492948e-03,4.000000e-03,119/197,28.81%,ITGA9;ICAM5;SLIT2;JAM3;ACTG2;COL16A1;NRXN2;CLDN9;NEGR1;FBN1;CX3CL1;NEXN;CDH11;AKT3;CDH6;PKD1;NECTIN3;ACTN2;VCAM1;CD209;CADM3;ALOX15B;CDH15;CD34;ARHGEF6;EPB41L2;SPEG;ITGA10;MMP9;THY1;CLDN11;IRS1;ACTC1;PARD6G;VCAN;LAYN;VWF;CD274;AMIGO2;TMEM8B;ADRA1B;TRAF1;ITGA2;PTPRC;TRO;CDH4;NFASC;MAPK11;COL17A1;ADAMTS5;ICAM1;EVL;CERCAM;MMP2;NLGN3;BAIAP2;FYB1;CD86;NLGN2;TSPAN4;THBS3;ICAM2;MYH10;TNFRSF11B;ACTN3;EGFR;PARVA;BMP1;SIRPA;CTNND1;ACTA1;CLDN5;PLCG1;PECAM1;CLDN18;MYL9;NECTIN1;CDH3;ITGA3;DSC3;CDSN;SORBS3;TSC1;SGCE;AMIGO1;CLDN14;NRAP;LAMA3;MADCAM1;MSN;NF1;VCL;MPZL2;SDC3;RASA1;FLNC;RAC2;MAP4K2;SYK;TGFBI;ITGB4;PIK3R3;MYH9;ADAM23;GNAI2;TAOK2;SHROOM2;CLDN15;FSCN1;AMH;ACTN1;ZYX;LDLRAP1;VAV2;PTEN;CNN2;CLDN8;IKBKG;NECTIN4
gsea,Angiogenesis,0.7102536685632567,2.3546533386228683,1.000000e-03,4.113364e-03,8.000000e-03,23/36,19.80%,SLCO2A1;LPL;MSX1;CCND2;APOH;PDGFA;OLR1;FGFR1;VCAN;THBD;COL5A2;PRG2;JAG2;JAG1;KCNJ8;POSTN;NRP1;FSTL1;COL3A1;LUM;VEGFA;CXCL6;STC1
gsea,IL-2/STAT5 Signaling,0.5567120943896795,2.3115434803755663,1.000000e-03,4.188152e-03,1.000000e-02,85/198,19.85%,PTH1R;ITIH5;TLR7;MAP6;GATA1;CAPN3;SHE;BCL2;CSF2;SELP;BMP2;IRF4;CCR4;RORA;FLT3LG;CCND2;CISH;TNFRSF4;GPR65;LRRC8C;ADAM19;CD79B;FGL2;AGER;PTGER2;SYT11;IRF8;LTB;TNFRSF8;IL10RA;ABCB1;GUCY1B1;PTCH1;IL1RL1;SOCS2;PLAGL1;ICOS;SPRY4;TRAF1;TIAM1;CSF1;IL3RA;HOPX;NT5E;ECM1;EOMES;CD83;IL13;CTLA4;LIF;CDKN1C;IL2RB;RGS16;IKZF4;TNFRSF18;S100A1;CD86;AHNAK;IL18R1;RHOH;TNFRSF9;IL2RA;CD48;CST7;PHLDA1;SLC2A3;COL6A1;SOCS1;NCS1;NFKBIZ;SELL;GLIPR2;NRP1;LRIG1;EMP1;PLPP1;PRKCH;APLP1;DRC1;ETFBKMT;BHLHE40;BMPR2;TNFRSF1B;TTC39B;WLS
gsea,UV Response Dn,0.5918273120016472,2.249645510699022,1.000000e-03,5.983074e-03,1.600000e-02,85/143,28.36%,SYNE1;SMAD7;ITGB3;MMP16;DLC1;FZD2;AKT3;SNAI2;PTPN21;TGFBR3;CELF2;GRK5;COL11A1;IRS1;PDGFRB;PTGFR;HAS2;FBLN5;PRKAR2B;CDON;APBB2;PRKCA;FYN;PMP22;PIK3CD;DBP;COL5A2;MAGI2;ADGRL2;ATXN1;PTPRM;RBPMS;KALRN;DAB2;CCN1;MGLL;LTBP1;ZMIZ1;RGS4;PRKCE;COL1A1;RUNX1;SDC2;COL1A2;SCHIP1;ARHGEF9;PLCB4;TGFBR2;VLDLR;CDC42BPA;KCNMA1;NRP1;F3;COL3A1;NFIB;IGFBP5;NOTCH2;RXRA;CAV1;PRDM2;PLPP3;BHLHE40;MAP1B;ATP2B4;MT1E;ATRX;NR1D2;KIT;TOGARAM1;RASA2;GJA1;AMPH;WDR37;PIK3R3;CITED2;SERPINE1;BDNF;EFEMP1;TENT4A;DYRK1A;VAV2;DDAH1;ACVR2A;PTEN;LDLR
gsea,Apoptosis,0.4479123582344744,2.192515741862281,5.813953e-03,9.829336e-03,3.200000e-02,57/160,23.98%,SMAD7;TGFB2;PLPPR4;FEZ1;LEF1;HGF;BMP2;EGR3;TNF;CCND2;IGFBP6;TGFBR3;PLCB2;PLAT;PDGFRB;SATB1;CD69;IL1B;DCN;FAS;DPYD;TIMP3;MMP2;PSEN2;BMF;RARA;NEDD9;CASP1;PRF1;CYLD;IL6;ANKH;TIMP2;EMP1;CCND1;F2R;LUM;IER3;CAV1;CD2;BGN;JUN;CLU;FASLG;GUCY2D;CCNA1;BTG2;CREBBP;GSN;CFLAR;PPP2R5B;ENO2;ROCK1;RNASEL;CD44;TNFRSF12A;MADD
gsea,Hedgehog Signaling,0.7214347994600857,2.1542457180868175,1.000000e-03,1.177918e-02,3.600000e-02,29/36,26.14%,HEY2;UNC5C;RTN1;GLI1;CNTFR;SHH;THY1;CRMP1;AMOT;PTCH1;DPYSL2;NRP2;CELSR1;NRCAM;ACHE;SLIT1;VLDLR;NRP1;L1CAM;CDK5R1;VEGFA;HEY1;TLE3;PML;NF1;RASA1;SCG2;MYH9;LDB1
gsea,TNF-alpha Signaling via NF-kB,0.5726414397696656,2.138803930594857,1.937984e-03,1.096897e-02,3.700000e-02,135/198,33.43%,CSF2;CXCL1;EGR2;BMP2;CD80;INHBA;TNFAIP6;MSC;EGR3;TNF;PTPRE;TLR2;PTGER4;OLR1;PTX3;TNC;IL7R;GFPT2;CD69;IL1B;TRAF1;CXCL3;CSF1;CD83;SERPINB8;FJX1;SLC2A6;LIF;PMEPA1;KLF2;ICAM1;ABCA1;PTGS2;JAG1;PLAU;CCN1;CXCL2;REL;IL12B;TNFRSF9;PLEK;G0S2;NFAT5;DUSP2;HBEGF;PHLDA1;SLC2A3;STAT5A;EDN1;TNFAIP8;PFKFB3;ACKR3;IL6;GPR183;F3;CCRL2;EGR1;EHD1;ZC3H12A;CCND1;FOSB;TNFAIP2;IER3;SPHK1;NR4A3;JUN;PLPP3;VEGFA;CXCL6;KLF9;PLK2;ICOSLG;RCAN1;HES1;CLCF1;IL6ST;BHLHE40;NR4A1;IER2;BTG2;CCL2;PDE4B;DENND5A;KLF10;CFLAR;ID2;SPSB1;DRAM1;KDM6B;IFIT2;CD44;CCL20;BCL2A1;CCL4;JUNB;FOS;PPP1R15A;TNFAIP3;SERPINE1;SLC16A6;GEM;RNF19B;PER1;PLAUR;SOCS3;AREG;GADD45B;IL15RA;LDLR;BCL6;NINJ1;TRIB1;TRIP10;SNN;TIPARP;CCNL1;NFKBIE;IER5;LAMB3;PHLDA2;NFKB1;CXCL11;TUBB2A;MAP3K8;CDKN1A;NFKBIA;FOSL2;DUSP1;MAFF;BCL3;IRF1;SIK1;ZFP36;CCL5;RELB
gsea,Epithelial Mesenchymal Transition,0.6783965745504371,2.1315547891105293,1.988072e-03,1.061996e-02,3.900000e-02,155/200,25.87%,SGCD;COMP;COL8A2;SLIT3;ECM2;LAMA2;ITGB3;COL5A3;SLIT2;NID2;NTM;LRRC15;FOXC2;COL16A1;GAS1;CADM1;ELN;MYLK;FBN1;MATN3;COL12A1;CDH11;CDH6;CXCL1;SGCG;CRLF1;THBS2;ABI3BP;INHBA;SFRP4;FAP;SNAI2;MSX1;CXCL12;LOXL1;VCAM1;PRRX1;EDIL3;FBLN2;TGFBR3;MXRA5;MAGEE1;PDLIM4;PTX3;TNC;COL5A1;THY1;EFEMP2;COL11A1;PDGFRB;LOX;FBLN5;VCAN;PCOLCE;ADAM12;FZD8;COL6A3;WNT5A;DCN;LRP1;ITGA2;GLIPR1;PMP22;NT5E;FAS;COL4A2;ECM1;COL5A2;FGF2;ANPEP;TAGLN;PMEPA1;FBLN1;OXTR;SPOCK1;ACTA2;TIMP3;MFAP5;MMP2;FSTL3;DAB2;FMOD;THBS1;CCN1;VEGFC;SNTB1;POSTN;RGS4;COL4A1;FERMT2;COL1A1;HTRA1;COL7A1;TNFRSF11B;LOXL2;DST;WIPF1;MGP;COL1A2;CALD1;DPYSL3;COL6A2;BMP1;TGFB1;CDH2;FLNA;TPM1;GREM1;IL6;TFPI2;FSTL1;COL3A1;MATN2;FN1;MYL9;GPC1;IL32;CCN2;NOTCH2;LUM;BGN;APLP1;JUN;VEGFA;CXCL6;SERPINE2;EMP3;VIM;SPARC;LAMA3;MMP1;CTHRC1;TPM2;ITGA5;ITGB5;MMP3;ID2;ENO2;GJA1;CD44;TGFBI;LAMA1;IGFBP4;TNFRSF12A;SCG2;SGCB;MMP14;SERPINH1;IL15;TNFAIP3;SERPINE1;TGM2;BDNF;GEM;QSOX1
