Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Myogenesis,0.6445752016601491,2.411330689535958,1.000000e-03,1.396820e-03,1.000000e-03,116/198,18.42%,SGCD;MYH11;MYLK;NOTCH1;SGCA;LAMA2;GJA5;MEF2C;COL6A3;AEBP1;APLNR;COX7A1;CASQ2;SORBS1;LSP1;COL15A1;COL4A2;TAGLN;SOD3;COL1A1;MYOZ1;FHL1;SSPN;DENND2B;CDH13;HSPB8;MRAS;COL6A2;DES;COL3A1;SGCG;TGFB1;ADCY9;AK1;ITGA7;PDLIM7;MYL4;DAPK2;CASQ1;CKB;MYL3;TNNI2;CACNA1H;CRYAB;MYBPH;FXYD1;CAV3;FABP3;PTGIS;VIPR1;SPARC;BHLHE40;IGFBP7;PTP4A3;MYH3;PPP1R3C;KIFC3;HBEGF;ACTN2;SORBS3;SPEG;DMPK;ITGB5;GSN;PYGM;TPM2;HDAC5;ADAM12;TSC2;AGRN;IGF1;GNAO1;TNNT3;MYH9;TNNC1;SVIL;CLU;FOXO4;CFD;SMTN;SPTAN1;MYH1;DMD;PLXNB2;TCAP;CTF1;ACTC1;RYR1;PSEN2;SLN;SH2B1;GADD45B;EPHB3;MEF2A;CD36;LDB3;CHRNA1;HSPB2;ACTN3;FGF2;MAPRE3;NAV2;CKMT2;MYBPC3;BDKRB2;MYF6;TNNC2;GPX3;CNN3;SPHK1;PRNP;ITGB4;GAA;CDKN1A;HRC;IGFBP3
gsea,Apical Junction,0.6355923361480472,2.2987420495055675,2.092050e-03,4.888871e-03,6.000000e-03,100/197,17.97%,COL16A1;CDH11;FBN1;CD34;ITGA9;CX3CL1;THY1;ARHGEF6;VWF;SLIT2;NEXN;ACTG2;MMP2;ICAM1;ICAM5;EPB41L2;JAM3;PKD1;VCAM1;TRAF1;MMP9;CLDN9;EVL;NRXN2;MYH10;AMIGO2;NEGR1;CERCAM;AKT3;VCAN;TSPAN4;PTPRC;MYL9;THBS3;PECAM1;PARVA;BAIAP2;SIRPA;CD209;BMP1;MAPK11;NLGN2;NECTIN3;CD86;CDH6;ITGA3;ALOX15B;PLCG1;IRS1;LAYN;PARD6G;ACTN2;SORBS3;CADM3;ITGA2;ITGA10;MSN;ICAM2;SPEG;CDH15;TMEM8B;CTNND1;SDC3;MPZL2;CLDN5;CD274;VCL;RAC2;MYH9;FYB1;GNAI2;TGFBI;RASA1;CLDN11;NECTIN1;EGFR;ADAMTS5;ADRA1B;ACTC1;ZYX;TSC1;CDH4;COL17A1;SYK;TAOK2;CNN2;ACTN1;NFASC;NLGN3;ACTN3;NF1;TRO;LDLRAP1;PTEN;MAP4K2;LAMB3;CLDN18;FSCN1;CDH3;ITGB4
gsea,Angiogenesis,0.7586279912790109,2.250368567289691,1.000000e-03,5.121674e-03,9.000000e-03,20/36,7.01%,SLCO2A1;PDGFA;CCND2;COL5A2;THBD;OLR1;POSTN;COL3A1;VCAN;LUM;FSTL1;LPL;FGFR1;NRP1;MSX1;VEGFA;APOH;KCNJ8;JAG2;JAG1
gsea,Notch Signaling,0.7205414205971112,2.2118177169960087,1.000000e-03,5.587281e-03,1.200000e-02,20/32,15.05%,HEYL;NOTCH1;WNT2;FZD1;DTX4;MAML2;ST3GAL6;CCND1;FZD7;LFNG;HES1;JAG1;NOTCH2;WNT5A;NOTCH3;PRKCA;PPARD;ARRB1;PSEN2;DLL1
gsea,Hedgehog Signaling,0.7401181264625386,2.2046918145910936,1.000000e-03,5.028553e-03,1.300000e-02,20/36,12.06%,UNC5C;HEY2;THY1;DPYSL2;RTN1;CELSR1;NRP2;NRP1;GLI1;VEGFA;SHH;CRMP1;CNTFR;AMOT;TLE3;PTCH1;MYH9;PML;RASA1;LDB1
gsea,TGF-beta Signaling,0.658727369949118,2.173622970628874,1.000000e-03,6.751298e-03,2.100000e-02,30/54,20.16%,SMAD7;LTBP2;SMAD6;PMEPA1;ENG;THBS1;SKI;BMP2;SMURF2;TGFB1;LEFTY2;CDKN1C;ID3;NOG;NCOR2;BMPR2;KLF10;RAB31;ID2;JUNB;APC;PPP1R15A;SERPINE1;ARID4B;CTNNB1;ACVR1;ID1;TGFBR1;WWTR1;TJP1
gsea,Epithelial Mesenchymal Transition,0.7490657889260081,2.16122323537881,1.000000e-03,5.986372e-03,2.200000e-02,137/200,13.99%,COL16A1;SGCD;COL8A2;COMP;LOXL1;ELN;CDH11;FBN1;ECM2;PDGFRB;MYLK;LAMA2;COL5A1;SLIT3;EFEMP2;COL6A3;PCOLCE;FBLN2;DCN;COL5A3;TIMP3;CADM1;THY1;SLIT2;LRRC15;LRP1;ITGB3;FBLN1;MMP2;NTM;COL4A2;TAGLN;SFRP4;PRRX1;ACTA2;COL1A1;CCN1;NID2;CXCL12;CXCL1;PMP22;COL5A2;VCAM1;FBLN5;PMEPA1;MXRA5;THBS2;GAS1;HTRA1;FMOD;THBS1;COL1A2;COL12A1;INHBA;ABI3BP;COL6A2;COL4A1;MGP;MATN3;POSTN;DAB2;COL3A1;EDIL3;CALD1;FAP;FLNA;SGCG;LOX;VCAN;TGFB1;FSTL3;FN1;BGN;LUM;CCN2;CRLF1;WIPF1;DPYSL3;MYL9;TNC;FOXC2;FSTL1;COL11A1;ECM1;FERMT2;SNAI2;BMP1;IL32;JUN;GLIPR1;SNTB1;TGFBR3;SPARC;PDLIM4;CDH6;VIM;TPM1;MSX1;VEGFA;MAGEE1;EMP3;FAS;ITGA2;PTX3;ITGB5;IGFBP4;NT5E;NOTCH2;WNT5A;TPM2;ADAM12;FZD8;MMP14;ID2;LOXL2;SERPINH1;CTHRC1;CD44;TNFRSF12A;ITGA5;TGFBI;GPC1;ANPEP;OXTR;QSOX1;LGALS1;TGM2;GJA1;SPOCK1;ENO2;GADD45B;TNFAIP3;CD59;SERPINE1;SDC1;MFAP5;PLAUR
gsea,KRAS Signaling Up,0.6230362919847019,2.151398363693175,1.000000e-03,6.111088e-03,2.500000e-02,98/200,13.99%,ITGBL1;ADGRA2;FLT4;GUCY1A1;SPON1;ADGRL4;CD37;PRRX1;LAT2;CCND2;DOCK2;TRAF1;RGS16;ITGB2;ETV1;ENG;F13A1;IL10RA;BMP2;IKZF1;INHBA;MMP9;MALL;GYPC;IRF8;IL7R;CMKLR1;SPARCL1;MMP11;MAP4K1;ACE;KCNN4;ADAM8;C3AR1;CSF2;ETS1;ANO1;MAFB;PLAU;G0S2;PECAM1;PRDM1;TMEM100;RETN;PLAT;MAP3K1;GNG11;NRP1;PLVAP;EMP1;TRIB2;HBEGF;TLR8;GFPT2;CBL;ITGA2;ANKH;IL1B;TNFRSF1B;ETV5;LAPTM5;HSD11B1;SATB1;DUSP6;MTMR10;LIF;DCBLD2;MPZL2;SEMA3B;EPB41L3;PDCD1LG2;ID2;CLEC4A;IL2RG;NIN;PIGR;FGF9;EVI5;SCN1B;SPRY2;CFH;EPHB2;GPRC5B;ABCB1;PPP1R15A;PCP4;FCER1G;LCP1;CROT;PPBP;CXCR4;IL33;CSF2RA;TNFAIP3;PTGS2;GPNMB;ALDH1A3;PLAUR
gsea,UV Response Dn,0.6512347455327189,2.142626427874117,2.070393e-03,5.742483e-03,2.600000e-02,86/143,21.75%,SMAD7;SYNE1;PDGFRB;DLC1;FZD2;ITGB3;CELF2;COL1A1;CCN1;PMP22;COL5A2;FBLN5;PTPN21;FYN;COL1A2;MGLL;PIK3CD;DAB2;AKT3;COL3A1;GRK5;RBPMS;ZMIZ1;TGFBR2;RUNX1;MMP16;LTBP1;APBB2;ATXN1;COL11A1;SDC2;SNAI2;DBP;NRP1;TGFBR3;BHLHE40;PTPRM;IGFBP5;IRS1;PLPP3;F3;RXRA;CAV1;PRKCE;ARHGEF9;NOTCH2;PRDM2;ATP2B4;PRKCA;HAS2;PRKAR2B;NFIB;CDC42BPA;NR1D2;PTGFR;CITED2;MAGI2;RASA2;MT1E;GJA1;ADGRL2;CDON;ATRX;DDAH1;SERPINE1;WDR37;EFEMP1;PTEN;KALRN;TOGARAM1;ID1;VAV2;DUSP1;TENT4A;LDLR;LAMC1;SCHIP1;DYRK1A;NFKB1;ACVR2A;TJP1;PIK3R3;ATRN;VLDLR;PLCB4;RGS4
gsea,IL-2/STAT5 Signaling,0.5900610817383836,2.136420840885661,1.000000e-03,5.447599e-03,2.600000e-02,101/198,17.87%,PTH1R;CISH;ITIH5;TNFRSF4;CSF1;CCND2;GUCY1B1;TLR7;TRAF1;GATA1;CD83;SELP;MAP6;RGS16;SPRY4;IL10RA;BMP2;LTB;AHNAK;LRRC8C;IRF8;IL3RA;COL6A1;ADAM19;SYT11;CAPN3;CSF2;CCR4;IRF4;SHE;CDKN1C;FGL2;ECM1;RORA;FLT3LG;BCL2;CD86;CST7;GPR65;NRP1;GLIPR2;IKZF4;AGER;BHLHE40;EMP1;PLPP1;CD79B;HOPX;LRIG1;IL2RB;TNFRSF1B;ICOS;PTGER2;SOCS1;PRKCH;NT5E;NFKBIZ;SOCS2;BMPR2;CD81;PHLDA1;CTLA4;LIF;SLC2A3;AHR;PTCH1;IL13;PLAGL1;DENND5A;CD44;SELL;IL4R;TNFRSF18;PLEC;NCS1;ABCB1;TNFRSF8;TGM2;S100A1;RHOH;PIM1;SWAP70;EOMES;IL18R1;IL1RL1;TIAM1;WLS;GADD45B;TNFRSF9;GBP4;IL2RA;CTSZ;ITGAV;RNH1;CD48;SPRED2;TTC39B;TNFSF10;PRNP;SMPDL3A;DRC1
