Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,IL-17 signaling pathway,0.628,2.400,0.002,0.031,0.01,33/94,10.36%,FOSL1;IL6;CCL7;MMP1;CXCL5;CXCL8;MMP3;CCL11;CXCL3;IL1B;S100A8;PTGS2;S100A7;CXCL1;MMP9;CXCL6;MMP13;CCL20;CSF3;DEFB4A;TNFAIP3;IFNG;CXCL10;CCL2;IL17C;FADD;S100A9;IL17B;MAPK11;MUC5AC;MAPK12;FOSB;MAPK6
gsea,Rheumatoid arthritis,0.667,2.267,0.001,0.065,0.031,31/89,7.20%,IL11;IL6;MMP1;CXCL5;CXCL8;MMP3;IL1A;CXCL3;IL1B;TNFSF11;CXCL1;CCL3;CXCL6;CCL20;TGFB3;IL15;CTSK;TLR4;CD80;FLT1;IL23A;CCL3L3;CXCL12;CD86;IFNG;CCL2;CTSL;CTLA4;CD28;TNFSF13B;TGFB2
gsea,TNF signaling pathway,0.537,2.162,0.006,0.108,0.059,43/111,16.98%,IL6;CXCL5;MMP3;CXCL3;IL1B;VCAM1;IL18R1;PTGS2;CXCL1;MMP9;CXCL6;CCL20;IL15;AKT3;JAG1;TNFAIP3;SELE;BIRC3;LIF;FAS;CXCL10;CCL2;MMP14;CREB5;NOD2;MLKL;FADD;SOCS3;MAPK11;MAPK12;IRF1;EDN1;BCL3;JUNB;PIK3CA;CEBPB;TRAF3;CXCL2;MAP3K5;TNFRSF1B;DNM1L;CCL5;RPS6KA4
gsea,Cellular senescence,0.460,2.128,0.004,0.106,0.073,47/156,18.12%,IL6;CXCL8;IL1A;KIR2DL4;CDK6;SERPINE1;CHEK1;CCNE1;CCNA2;FOXM1;MYBL2;CDC25A;CCNB2;TGFB3;AKT3;CDK1;E2F2;CCNB1;IGFBP3;RBL1;CCNA1;MRAS;GADD45A;TGFB2;ETS1;MAPK11;MYC;MAPK12;TRPV4;CDKN1A;EIF4EBP1;HLA-G;GADD45B;TGFBR1;ZFP36L2;NBN;NRAS;PIK3CA;HIPK4;RB1;CCNB3;TGFB1;FOXO1;E2F1;CDK2;LIN9;E2F3
gsea,Cell cycle,0.604,2.119,0.001,0.090,0.078,52/124,18.12%,BUB1B;MAD2L1;CDK6;TTK;PKMYT1;CHEK1;BUB1;CCNE1;CDC6;PLK1;CCNA2;ORC1;CDC25A;CDC25C;ESPL1;CDC45;CCNB2;TGFB3;CDK1;CDC20;ORC6;DBF4;MCM2;E2F2;CCNB1;RBL1;CCNA1;CDC7;GADD45A;TGFB2;MYC;SKP2;CDKN1A;MCM6;MAD1L1;PTTG1;MCM4;GADD45B;ANAPC1;MAD2L2;CDC27;RB1;STAG1;MCM5;CDKN2D;CCNB3;TGFB1;HDAC2;YWHAG;E2F1;CDK2;E2F3
gsea,Human T-cell leukemia virus 1 infection,0.458,2.118,0.016,0.075,0.078,85/217,24.27%,FOSL1;IL6;IL1R2;IL2RA;BUB1B;MAD2L1;CHEK1;MSX2;CCNE1;SLC2A1;CCNA2;MSX1;ESPL1;CCNB2;TGFB3;IL15;EGR2;AKT3;CDC20;IL15RA;IL2RB;E2F2;ADCY3;CREB5;CCNA1;TLN2;TGFB2;RELB;ETS1;MYC;CDKN1A;MAD1L1;JAK3;PTTG1;HLA-G;CD40;TGFBR1;IL2RG;CD3G;ANAPC1;SPI1;LCK;NRAS;NRP1;CDC27;PIK3CA;ITGB2;RB1;TGFB1;ADCY4;CD3E;E2F1;NFKB2;CDK2;E2F3;CD4;TCF3;STAT5A;CHEK2;MMP7;CCND2;TNFRSF1A;PRKACB;TBPL1;RANBP1;SMAD3;JAK1;CCND1;PIK3CD;MAP2K1;ELK1;EGR1;CCNE2;CHUK;CDKN2B;IL1R1;BUB3;CD3D;RAN;BCL2L1;VDAC2;CREB3L2;TLN1;LTBR;TRRAP
gsea,"Valine, leucine and isoleucine degradation",-0.549,-2.102,0.006,0.194,0.087,22/48,17.65%,ABAT;HMGCS2;BCKDHA;ACADSB;ACAD8;ALDH6A1;ALDH3A2;MCCC1;AGXT2;PCCA;ACSF3;HADH;HIBCH;HMGCLL1;IVD;ALDH2;ACAT1;BCAT2;ACADS;OXCT2;MCEE;ALDH7A1
gsea,Glyoxylate and dicarboxylate metabolism,-0.585,-2.102,0.002,0.097,0.087,15/29,27.79%,ACSS1;AMT;GCSH;PCCA;HAO2;HOGA1;ACSS2;SHMT1;ACAT1;MCEE;AGXT;CAT;GLYCTK;HAO1;MMUT
gsea,Osteoclast differentiation,0.593,2.084,0.008,0.082,0.099,39/126,9.40%,FOSL1;LILRA5;IL1A;FHL2;FCGR3B;LILRB2;IL1B;TNFSF11;ITGB3;LILRA6;FCGR1A;LILRB4;FCGR2B;LILRA1;PPARG;LILRB3;CTSK;LILRB1;AKT3;MITF;TNFRSF11B;LILRB5;SIRPB1;SIRPA;IFNG;NCF1;OSCAR;FCGR3A;FOSL2;SIRPG;LCP2;TGFB2;RELB;NCF2;FCGR2A;SOCS3;MAPK11;MAPK12;CSF1R
gsea,Phagosome,0.490,2.083,0.010,0.072,0.101,46/148,13.03%,THBS2;FCAR;FCGR3B;CD209;TLR6;ITGB3;ITGA5;FCGR1A;TUBB3;TUBB6;ITGA2;FCGR2B;TLR4;MPO;COMP;THBS1;MSR1;NCF1;ITGAM;CTSL;FCGR3A;PLA2R1;MRC2;NCF2;MRC1;OLR1;ITGAV;FCGR2A;MARCO;CD14;TUBA3C;SCARB1;TAP2;TUBA1C;ITGB5;C1R;CYBB;TUBAL3;TUBA1B;HLA-G;TUBA4A;ATP6V0D2;CLEC7A;TAP1;DYNC1I1;COLEC12
