Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Hypoxia,0.5750976899747638,2.6757714480296597,0.001,0.001,0.001,100/197,18.91%,IL6;STC1;SLC2A5;HAS1;AKAP12;TMEM45A;ANGPTL4;STC2;LOX;CAVIN3;PGF;ADM;SERPINE1;SLC2A3;SLC2A1;CCN5;CHST3;IGFBP1;DPYSL4;COL5A1;TGFBI;CA12;NOCT;SULT2B1;ACKR3;TGFB3;AK4;PDGFB;ALDOA;PFKP;TNFAIP3;DDIT4;TPBG;PDK1;IER3;SRPX;KIF5A;EDN2;PGM2;HK2;IGFBP3;INHA;MT2A;FOSL2;GPC1;ERO1A;PLIN2;CAV1;F3;CSRP2;CCN1;ETS1;IDS;HOXB9;GBE1;PKP1;LXN;CAVIN1;ERRFI1;GLRX;TGM2;DCN;MAFF;SCARB1;NFIL3;MT1E;CDKN1A;CCN2;TIPARP;PRKCA;BCAN;ATF3;KLF6;PIM1;HS3ST1;MIF;HMOX1;EXT1;P4HA2;BGN;SAP30;KDELR3;PFKFB3;B4GALNT2;P4HA1;PGM1;SDC2;KLF7;TKTL1;TES;ANXA2;ALDOC;BHLHE40;TPST2;CCNG2;LDHA;LDHC;XPNPEP1;GAPDH;CXCR4
gsea,TNF-alpha Signaling via NF-kB,0.7151042244205504,2.661299026517914,0.001,0.001,0.001,109/197,14.46%,FOSL1;IL6;TNFAIP6;SPHK1;GFPT2;INHBA;MSC;IL1A;KYNU;FJX1;CXCL3;SERPINE1;AREG;SLC2A3;IL1B;TNFRSF9;PTGS2;PLAU;EGR3;CXCL1;NR4A3;TNC;DUSP4;CXCL6;CCL20;MXD1;DNAJB4;ACKR3;HBEGF;CCL4;BCL2A1;SLC16A6;PTX3;CD80;EGR2;PDE4B;KLF4;IL23A;DUSP5;PHLDA1;JAG1;TNFSF9;CXCL11;SERPINB8;TNFAIP3;IL15RA;BIRC3;PLK2;G0S2;SLC2A6;NAMPT;LIF;PMEPA1;CXCL10;CCL2;IER3;PDLIM5;TNFAIP8;SERPINB2;IL7R;GPR183;CLCF1;RIPK2;FOSL2;FUT4;GADD45A;ZC3H12A;F3;RELB;BMP2;ABCA1;CCN1;OLR1;SOCS3;PHLDA2;MYC;PANX1;PTGER4;LAMB3;NR4A2;ATP2B1;RCAN1;DUSP2;MAFF;NFIL3;CDKN1A;PLEK;FOSB;IRF1;TIPARP;MARCKS;IER5;EDN1;ATF3;KLF6;TNFAIP2;EHD1;SIK1;GADD45B;TAP1;KLF10;CD69;IL18;BCL3;LDLR;TRIP10;JUNB;CEBPB;PFKFB3
gsea,Apoptosis,0.5416559918879682,2.602989887663812,0.001,0.001,0.001,55/160,13.87%,IL6;EREG;IL1A;IL1B;AVPR1A;EGR3;BRCA1;PMAIP1;FEZ1;BIRC3;FAS;TOP2A;IER3;IGFBP6;EMP1;LEF1;PLAT;MMP2;PDGFRB;TIMP2;CCNA1;CAV1;GADD45A;TGFB2;TNFRSF12A;BMP2;F2R;BCL10;CD14;GNA15;BCL2L10;HGF;DCN;ANXA1;CDKN1A;CD38;IRF1;SLC20A1;ATF3;NEFH;TIMP3;PLPPR4;PRF1;GADD45B;LUM;BID;TAP1;HMOX1;BGN;CD69;IL18;BCL2L11;TIMP1;FASLG;PPP2R5B
gsea,Epithelial Mesenchymal Transition,0.8112203562672119,2.5717904121615973,0.001,0.001,0.001,144/196,10.56%,GREM1;ADAM12;SPOCK1;IL6;COL11A1;COL12A1;NID2;FAP;GAS1;RGS4;INHBA;SNAI2;MFAP5;THBS2;MMP1;COL5A3;FOXC2;CXCL8;SERPINE2;LRRC15;LOX;MMP3;COL7A1;VCAN;MXRA5;NTM;PTHLH;PRRX1;SERPINE1;AREG;SGCD;ITGB3;FBN1;VCAM1;ITGA5;THY1;COL5A2;PLOD2;LAMC2;CXCL1;PDLIM4;MSX1;FBN2;CTHRC1;COL5A1;TNC;CXCL6;DKK1;POSTN;GLIPR1;MYLK;BMP1;ITGA2;FSTL3;FGF2;TGFBI;DST;LAMA1;CDH11;SLC6A8;PRSS2;OXTR;IL15;FBLN2;PTX3;ECM2;COMP;TNFRSF11B;THBS1;EDIL3;COL16A1;SFRP1;COL6A3;PCOLCE2;TNFAIP3;CXCL12;CDH2;GJA1;COL8A2;LOXL1;SCG2;SFRP4;TAGLN;COL1A1;COL3A1;NT5E;FAS;PMEPA1;COL1A2;ACTA2;LAMA3;PCOLCE;CALD1;PMP22;SPP1;COL6A2;CDH6;MMP14;FSTL1;COL4A2;COL4A1;IGFBP3;EFEMP2;WIPF1;MMP2;PDGFRB;TPM4;BDNF;GPC1;EMP3;FBLN1;TFPI2;FN1;MATN3;BASP1;GADD45A;SLIT2;IL32;FMOD;ECM1;TNFRSF12A;GPX7;CCN1;ITGAV;CALU;SGCB;PVR;DAB2;LRP1;HTRA1;FERMT2;TPM1;LGALS1;TPM2;TGM2;COLGALT1;DCN;ANPEP;NNMT;LAMA2;ITGB5;CCN2;P3H1;SPARC
gsea,Glycolysis,0.46796141819018766,2.2988856894081895,0.001,0.005064185608291132,0.012,46/198,9.54%,STC1;ANGPTL4;STC2;PKP2;VCAN;CENPA;DEPDC1;EGLN3;CHST1;GPR87;PLOD2;HMMR;DPYSL4;COL5A1;DSC2;TGFBI;SLC16A3;AK4;ALDOA;PFKP;KIF20A;CDK1;B3GNT3;NT5E;AURKA;GCLC;DDIT4;TPBG;HOMER1;IER3;PYGL;PGM2;HK2;IGFBP3;TGFA;MET;CACNA1H;GPC1;ERO1A;SPAG4;CHST4;CHST6;GLRX;NDST3;DCN;B4GALT4
gsea,Angiogenesis,0.6529922895149645,2.211033140262081,0.001,0.01069105850639239,0.024,17/36,7.81%,STC1;VCAN;SERPINA5;COL5A2;MSX1;PF4;CXCL6;POSTN;JAG1;COL3A1;SPP1;FSTL1;THBD;FGFR1;KCNJ8;OLR1;ITGAV
gsea,mTORC1 Signaling,0.48646961663615274,2.2031978112238004,0.005964214711729622,0.010128371216582263,0.026,66/199,20.57%,STC1;EGLN3;SLC2A3;BUB1;RRM2;ELOVL6;PLK1;SLC2A1;PLOD2;CDC25A;AK4;ALDOA;POLR3G;MLLT11;MTHFD2;NAMPT;MCM2;AURKA;GCLC;DDIT4;PDK1;HK2;DAPP1;ERO1A;SLA;IGFBP5;GBE1;SLC7A5;CCNF;SKAP2;GLRX;NFIL3;PNP;CDKN1A;BCAT1;SLC7A11;CYP51A1;GLA;MCM4;TUBA4A;SRD5A1;TXNRD1;TFRC;LDLR;ITGB2;P4HA1;PGM1;TES;ACTR3;PSAT1;BHLHE40;FGL2;YKT6;GMPS;LDHA;SERPINH1;NUP205;GAPDH;CXCR4;HPRT1;TOMM40;PGK1;WARS1;PSMD14;CTSC;FADS2
gsea,KRAS Signaling Up,0.5652180688382402,2.16254984464425,0.001,0.014137518156479411,0.04,77/199,11.72%,TMEM158;GFPT2;INHBA;AKAP12;ANGPTL4;EREG;PRRX1;PDCD1LG2;WNT7A;ALDH1A3;MMP11;IL1B;PPBP;EPHB2;PTGS2;PLAU;SERPINA3;MMP9;ADGRA2;ANO1;ITGA2;MMP10;KCNN4;HSD11B1;MMD;CCL20;ADGRL4;HBEGF;PRDM1;KLF4;DCBLD2;ADAMDEC1;EPB41L3;SPON1;FLT4;SEMA3B;TNFAIP3;ITGBL1;BIRC3;TLR8;G0S2;C3AR1;LIF;PLEK2;SPP1;CXCL10;LAT2;F13A1;EMP1;IGFBP3;PLAT;CMKLR1;IL7R;CLEC4A;CSF2RA;DOCK2;MAFB;ERO1A;BMP2;ANXA10;PTPRR;RELN;ETS1;ADAM8;CPE;IL10RA;SCG5;GLRX;GPRC5B;CFH;HOXD11;RGS16;PLVAP;FCER1G;CBL;LAPTM5;ADAM17
gsea,Complement,0.5150779606642,2.1532103493897528,0.004,0.01444230710512656,0.045,83/199,16.42%,IL6;CDA;S100A12;MMP12;KYNU;CDK5R1;GZMB;CDH13;CTSV;SERPINE1;F5;CASP5;CXCL1;MMP13;MMP8;ZFPM2;GNB4;PDGFB;PRSS3;DUSP5;ZEB1;TNFAIP3;GATA3;MMP14;COL4A2;ITGAM;KLK1;CTSL;PLAT;SERPINB2;TIMP2;GNG2;CR1;DGKH;PIK3CG;S100A9;TFPI2;FN1;LCP2;PIK3R5;F3;PLA2G7;GNGT2;SH2B3;APOA4;OLR1;GZMA;FCN1;LRP1;JAK2;MAFF;CFH;ADAM9;C1R;PLEK;C1S;IRF1;FCER1G;PIM1;DYRK2;EHD1;WAS;NOTCH4;DOCK10;SERPING1;PRSS36;PRCP;LCK;PSMB9;DGKG;TIMP1;PIK3CA;C9;CEBPB;GNAI3;APOBEC3G;C1QC;PLSCR1;KIF2A;CBLB;LTF;CTSB;PLA2G4A
gsea,Inflammatory Response,0.6643621822336979,2.1432011139504925,0.001,0.013842107329329095,0.048,101/198,10.38%,IL6;TNFAIP6;SPHK1;INHBA;CCL7;HAS2;AQP9;PCDH7;CXCL8;EREG;IL1A;OSM;FPR1;CCL24;MEFV;ADM;SERPINE1;PDPN;IL1B;ITGB3;TNFRSF9;IL18R1;ITGA5;HRH1;CXCL6;APLNR;C5AR1;CD70;PROK2;CCL20;MXD1;BDKRB1;CLEC5A;HBEGF;IL15;PDE4B;CSF3;IL10;DCBLD2;NLRP3;PTAFR;PTGIR;TNFSF9;CXCL11;ITGB8;IL15RA;SELE;NDP;MSR1;IL2RB;C3AR1;NAMPT;LIF;IRAK2;CXCL10;STAB1;TPBG;CCL2;MMP14;NOD2;AXL;CMKLR1;IL7R;GPR183;MET;PTGER2;RIPK2;EMP3;TLR1;LCP2;PIK3R5;F3;SLC31A2;ABCA1;GPR132;OLR1;KCNJ2;SELL;ADGRE1;MARCO;PVR;CXCL9;IL10RA;MYC;CXCR6;PTGER4;BEST1;CD14;IL18RAP;GNA15;LPAR1;RGS1;ATP2B1;HIF1A;CCL22;CDKN1A;CYBB;EBI3;OSMR;RGS16;IRF1
