Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Proteoglycans in cancer,0.68471697181197,2.6617511416980064,1.000000e-03,1.000000e-03,1.000000e-03,106/203,15.24%,EGFR;HSPG2;PXN;FZD1;VAV2;IGF1R;VAV3;PRKCA;CCND1;ITGA2;CAV1;PIK3R1;ITGA5;WNT3A;TIMP3;FN1;WNT10A;PLAU;MMP2;TWIST1;COL1A1;FLNA;GPC1;COL1A2;FLNB;WNT4;ITPR2;SLC9A1;WNT7B;WNT5B;TGFB2;ITGAV;ITGB1;ARHGEF12;CAMK2A;PIK3CD;WNT6;ITGB3;ANK3;WNT7A;PPP1R12B;CAV2;HOXD10;FZD8;MET;CAMK2D;TIAM1;DROSHA;DCN;ANK1;ITPR3;TLR2;TNF;ITGB5;TGFB1;TWIST2;CD44;FZD4;PDPK1;CBL;PLCG1;MSN;MTOR;ROCK1;MAPK11;ESR1;RRAS;THBS1;FAS;FLNC;CTTN;MRAS;IQGAP1;FZD6;MMP9;WNT9A;PIK3CB;SRC;HSPB2;RRAS2;PTK2;PLAUR;GAB1;VEGFA;AKT1;LUM;FZD2;SDC2;STAT3;PTCH1;SOS2;KDR;ERBB2;CDKN1A;SDC1;WNT16;PTPN11;FZD7;RAF1;MAPK1;IGF2;ROCK2;SDC4;FRS2;SOS1;WNT10B
gsea,Oxidative phosphorylation,-0.6055403023432573,-2.5507681424344564,1.000000e-03,1.000000e-03,1.000000e-03,76/120,20.07%,ATP6V0E2;ATP4A;ATP6V1C2;UQCR11;NDUFA2;ATP6V0A4;ATP5MG;COX11;UQCRQ;NDUFA11;ATP5PO;NDUFB5;NDUFB1;NDUFB8;NDUFA9;NDUFB9;ATP5MC1;COX5A;COX6A1;NDUFS7;NDUFB6;NDUFB7;NDUFB2;ATP5PF;COX8C;NDUFA7;ATP4B;ATP5PD;COX5B;NDUFA4;ATP5MF;UQCRHL;COX7B;NDUFAB1;ATP6V1F;SDHD;COX17;NDUFS3;COX7A2;NDUFA13;COX7C;COX6B1;COX4I1;ATP6V0B;COX6A2;ATP5MC3;NDUFB4;NDUFC2;ATP6V1B1;ATP5F1D;ATP12A;UQCRB;NDUFB10;UQCR10;NDUFS4;COX6C;ATP6V1G2;NDUFB11;NDUFA12;NDUFA3;CYC1;NDUFS8;UQCRFS1;ATP5F1C;NDUFA1;ATP6V1G3;SDHB;NDUFA5;COX7A2L;NDUFA8;UQCRC2;ATP5MC2;PPA1;NDUFA6;ATP5F1E;NDUFV3
gsea,Human papillomavirus infection,0.5858338644358129,2.515389099417541,1.000000e-03,1.616469e-03,2.000000e-03,140/330,15.52%,LAMA3;TNC;LAMC2;EGFR;LAMB3;LAMB1;ITGA3;PXN;FZD1;ITGB4;COL6A3;ITGB6;CDK6;LAMA1;COL6A1;ITGA6;CCND1;NOTCH1;ITGA2;PDGFRB;THBS2;PIK3R1;LAMA4;ITGA5;WNT3A;FN1;WNT10A;COL6A2;COL1A1;PTGS2;LAMA5;NFKB1;COL1A2;LAMB4;COL4A5;COMP;TCF7L1;JAG1;MAML2;WNT4;COL4A6;COL4A2;HES2;WNT7B;WNT5B;LAMA2;UBR4;TNN;ITGA11;ITGAV;ITGB1;TLR3;PIK3CD;WNT6;ITGB3;PARD6G;NOTCH2;TRAF3;FOXO1;WNT7A;ITGB8;LAMC1;TCF7L2;HEYL;FZD8;COL4A1;EP300;ITGA1;COL9A2;TNF;ITGA4;ITGB5;CREBBP;COL2A1;MAML3;PTGER4;FZD4;JAK1;CREB3L1;NOTCH4;VWF;MTOR;IFNAR2;CREB3L2;ATM;PRKCZ;COL6A6;THBS1;HEY2;FAS;IFNA1;PTEN;FZD6;LAMB2;WNT9A;CREB5;PIK3CB;LLGL1;FADD;CCND2;IKBKB;PTK2;CREB1;APC;TNFRSF1A;GSK3B;TSC2;VEGFA;AKT1;FZD2;CSNK1A1;SOS2;MAML1;RB1;ATR;PALS1;CDKN1A;WNT16;STAT2;FZD7;COL6A5;ITGA8;LAMC3;RAF1;MAPK1;TCIRG1;MX2;TSC1;NOTCH3;RELA;SCRIB;DLG1;THBS3;PSEN1;SOS1;WNT10B;PPP2R3A;PARD3;DVL1;OASL
gsea,Focal adhesion,0.7271495280617037,2.4981620649597467,1.000000e-03,2.155292e-03,4.000000e-03,117/200,14.15%,LAMA3;TNC;LAMC2;EGFR;PDGFA;LAMB3;LAMB1;ITGA3;PXN;VAV2;IGF1R;VAV3;ITGB4;COL6A3;PDGFC;ITGB6;PRKCA;LAMA1;COL6A1;ITGA6;CCND1;ITGA2;PDGFRB;THBS2;CAV1;ARHGAP5;PIK3R1;LAMA4;ITGA5;FN1;COL6A2;COL1A1;ACTN1;LAMA5;FLNA;COL1A2;LAMB4;COL4A5;COMP;FLNB;DOCK1;PGF;FLT1;COL4A6;MYLK;COL4A2;PARVA;LAMA2;VEGFC;TNN;VCL;ITGA11;ITGAV;ITGB1;PIK3CD;ITGB3;ITGB8;PPP1R12B;PDGFB;CAV2;LAMC1;COL4A1;MET;ARHGAP35;ITGA1;COL9A2;ILK;ITGA4;ITGB5;COL2A1;MYL9;SHC1;PDPK1;VWF;ROCK1;ZYX;COL6A6;THBS1;SHC3;PDGFRA;RAPGEF1;PTEN;FLNC;LAMB2;PAK6;BCAR1;PIK3CB;PIP5K1C;MYLK4;SRC;CCND2;CAPN2;TLN1;RAC2;ACTN4;PTK2;PDGFD;FYN;XIAP;GSK3B;VEGFA;AKT1;MYL10;JUN;TLN2;SOS2;KDR;FLT4;ERBB2;CRKL;COL6A5;ITGA8;SHC4;LAMC3;RAF1;MAPK1;ROCK2
gsea,Prostate cancer,0.658146383397788,2.471889670152599,1.000000e-03,2.020586e-03,5.000000e-03,51/97,16.72%,EGFR;PDGFA;IGF1R;PLAT;PDGFC;CCND1;PDGFRB;PIK3R1;PLAU;NFKB1;MMP3;TCF7L1;NKX3-1;PIK3CD;FOXO1;PDGFB;TCF7L2;EP300;CREBBP;TGFA;CREB3L1;ZEB1;PDPK1;IL1R2;MTOR;CREB3L2;PDGFRA;PTEN;MMP9;CREB5;PIK3CB;IKBKB;CREB1;PDGFD;GSK3B;AKT1;ERG;SOS2;RB1;LEF1;FGFR2;ERBB2;CDKN1A;RAF1;MAPK1;AR;RELA;SOS1;BRAF;TCF7;SPINT1
gsea,Estrogen signaling pathway,0.5657900415033909,2.4551443665338497,1.000000e-03,1.939763e-03,6.000000e-03,60/137,18.96%,EGFR;GNAI1;PIK3R1;ADCY7;MMP2;KRT17;KRT14;ADCY9;ITPR2;PIK3CD;KRT23;GPER1;ITPR3;KRT9;PLCB3;TGFA;HSPA2;CREB3L1;SHC1;NCOA2;CREB3L2;ESR1;PGR;SHC3;KRT16;KRT15;MMP9;CREB5;PIK3CB;SRC;KRT13;RARA;PLCB1;CREB1;KRT25;AKT1;KCNJ5;KRT31;JUN;FOS;KRT37;SOS2;GNAQ;NCOA3;HSPA1A;SHC4;ADCY6;RAF1;MAPK1;KRT35;KRT33B;SP1;SOS1;KRT34;KCNJ6;KRT32;NCOA1;HSPA6;HRAS;ADCY1
gsea,MicroRNAs in cancer,0.5480696640166179,2.443641160701356,1.000000e-03,1.885880e-03,6.000000e-03,108/252,20.89%,IRS1;TNC;EGFR;PDGFA;CDK6;PRKCA;CCND1;NOTCH1;PDGFRB;ZFPM2;PIK3R1;ITGA5;WNT3A;TIMP3;PLAU;PTGS2;NFKB1;TPM1;FOXP1;BMPR2;TNN;TGFB2;PIK3CD;TP63;ITGB3;FGFR3;FSCN1;SLC7A1;MMP16;NOTCH2;PDGFB;CYP24A1;HOXD10;SERPINB5;EP300;DDIT4;MET;CREBBP;MIR205;EFNA5;CD44;MIRLET7G;SHC1;NOTCH4;ZEB1;ABL1;PLCG1;MTOR;MAPK7;ROCK1;ATM;THBS1;PDGFRA;PTEN;BCL2L2;MMP9;PIK3CB;CCND2;IKBKB;MIR26A1;RPTOR;APC;VIM;VEGFA;ZEB2;MIR145;MIR181B2;STAT3;CYP1B1;DICER1;SOS2;MIRLET7F2;ERBB2;CDKN1A;CRKL;GLS;MIRLET7I;SHC4;MIR26B;RAF1;MIR31;MIR373;SOX4;MAPK1;BCL2L11;NOTCH3;MIR135B;SOS1;MIR520H;HMGA2;MIR27B;MIR129-1;SPRY2;MIR96;MIR625;APC2;HRAS;RECK;MIR210;MIR23B;EFNA2;MIR125B1;MIR26A2;MIR181C;MIR15B;CRK;PIM1;MIR30A
gsea,Axon guidance,0.6530379795536609,2.414707080471231,1.000000e-03,1.847393e-03,6.000000e-03,96/182,15.34%,SEMA3C;UNC5B;SEMA5A;GNAI1;PLXNA2;EFNB1;PRKCA;PLXNA1;PIK3R1;EPHB2;SSH1;ROBO1;NRP1;NTN1;EPHA2;SEMA4B;UNC5C;ENAH;WNT4;EPHA4;PLXNB3;WNT5B;BMPR2;PPP3CA;ITGB1;ARHGEF12;CAMK2A;PIK3CD;BMPR1B;EPHB4;SLIT3;PARD6G;LIMK2;ABLIM3;SEMA6B;NCK2;SEMA6A;NTN4;NEO1;PLXNA3;SEMA4C;MET;CAMK2D;SEMA3F;ILK;PLXNB2;SEMA3D;EFNA5;BOC;EFNB2;LRRC4C;MYL9;SRGAP2;LRIG2;PDPK1;SSH3;ABL1;PLCG1;SEMA3B;ROCK1;PLXNB1;PRKCZ;RRAS;NFATC3;EFNB3;TRPC6;ABLIM2;PAK6;RASA1;PIK3CB;L1CAM;SRC;RAC2;PTK2;SEMA3A;PLXNA4;FYN;GSK3B;NTNG1;EPHA1;DPYSL2;PTCH1;BMP7;EPHB3;RHOD;SRGAP1;PTPN11;SEMA7A;RAF1;MAPK1;RGMA;ROCK2;TRPC5;RGS3;NGEF;PARD3
gsea,Small cell lung cancer,0.6647300647283659,2.3881159876350395,1.000000e-03,2.020586e-03,7.000000e-03,41/92,12.27%,LAMA3;LAMC2;LAMB3;LAMB1;ITGA3;CDK6;LAMA1;ITGA6;CCND1;ITGA2;PIK3R1;LAMA4;RXRA;FN1;PTGS2;LAMA5;NFKB1;LAMB4;COL4A5;COL4A6;COL4A2;LAMA2;ITGAV;ITGB1;PIK3CD;TRAF3;LAMC1;COL4A1;APAF1;PTEN;LAMB2;RARB;PIK3CB;IKBKB;PTK2;XIAP;TRAF6;AKT1;ZBTB17;RB1;CDKN1A
gsea,Thyroid hormone signaling pathway,0.60602576268496,2.372785945865872,1.000000e-03,1.796076e-03,7.000000e-03,50/121,14.40%,MED13L;SLC16A2;PRKCA;CCND1;PLCD3;NOTCH1;PIK3R1;RXRA;WNT4;SLC9A1;ITGAV;DIO2;PIK3CD;ITGB3;SLC2A1;NOTCH2;FOXO1;DIO3;EP300;PLCB3;CREBBP;NCOR1;PLCD4;MED12;ATP1A1;NOTCH4;PDPK1;NCOA2;PLCG1;MTOR;ESR1;THRB;PIK3CB;RCAN2;SRC;PLCB1;PFKFB2;GSK3B;TSC2;PFKM;MED1;ATP2A2;AKT1;MED14;PFKP;THRA;NCOA3;RAF1;MAPK1;NOTCH3
