Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,UV Response Dn,0.735,2.389,0.001,0.008,0.005,85/143,12.92%,IRS1;FHL2;COL5A2;SNAI2;LTBP1;VAV2;IGF1R;PTPN21;HAS2;PRKCA;PDGFRB;CAV1;RXRA;SMAD7;COL1A1;COL11A1;ADGRL2;NFKB1;NRP1;COL1A2;GJA1;EFEMP1;DAB2;APBB2;TGFBR2;NIPBL;SERPINE1;COL3A1;INPP4B;ATP2B4;ADORA2B;ATXN1;PIK3CD;ATRN;ITGB3;SLC7A1;MMP16;NOTCH2;GCNT1;LAMC1;ZMIZ1;RND3;WDR37;RUNX1;MET;PTPRM;FBLN5;PDLIM5;ATRX;SYNJ2;SMAD3;VLDLR;PRDM2;TENT4A;LDLR;CCN1;CDC42BPA;PMP22;DLC1;PTEN;SIPA1L1;BHLHE40;SYNE1;IGFBP5;ID1;PTGFR;RBPMS;NFIB;CAP2;TJP1;TOGARAM1;FYN;PHF3;F3;PLPP3;DYRK1A;ACVR2A;FZD2;SCAF8;SDC2;CDK13;GRK5;ERBB2;ATP2C1;CITED2
gsea,TGF-beta Signaling,0.712,2.363,0.001,0.005,0.006,31/54,13.11%,PMEPA1;BMP2;LTBP2;SMAD7;NCOR2;SKI;SERPINE1;BMPR2;HIPK2;KLF10;ACVR1;SMAD6;TGFB1;SMAD3;SMAD1;SPTBN1;BCAR3;THBS1;RAB31;NOG;ID1;PPP1R15A;TJP1;XIAP;APC;SMURF1;ENG;TGFBR1;FURIN;MAP3K7;ARID4B
gsea,Hypoxia,0.613,2.359,0.001,0.003,0.006,94/199,14.47%,EGFR;KLF7;COL5A1;CHST3;TMEM45A;TGFBI;TGFB3;PRKCA;P4HA2;CAV1;CA12;GPC1;EXT1;NDRG1;CAVIN3;SERPINE1;AKAP12;PGF;NDST1;STC1;ADORA2B;TPBG;NOCT;GPC4;ETS1;SLC2A1;SRPX;LOX;MYH9;PDGFB;PKP1;DDIT4;DCN;MAP3K1;FOSL2;PFKFB3;TNFAIP3;PPARGC1A;VLDLR;CCNG2;CCN1;BGN;ANGPTL4;ERRFI1;ALDOA;ADM;LARGE1;PDK3;GYS1;CAVIN1;HS3ST1;ACKR3;FOXO3;BHLHE40;P4HA1;CCN2;AMPD3;TPST2;SLC2A3;PPP1R15A;HDLBP;PAM;TGM2;PLAUR;EDN2;IER3;KDELR3;PGM2;IDS;VEGFA;F3;JUN;B3GALT6;FOS;ZNF292;SDC2;PHKG1;KLF6;HAS1;GBE1;PFKP;ERO1A;ATP7A;CP;PKLR;CDKN1A;NFIL3;TES;CITED2;ENO2;PGM1;PPP1R3C;SDC4;CSRP2
gsea,Apical Junction,0.627,2.322,0.001,0.004,0.009,96/197,15.61%,IRS1;LAMA3;LAMC2;EGFR;COL16A1;CDH3;COL17A1;LAMB3;GNAI1;ITGA3;BMP1;TGFBI;VAV2;ITGB4;CDH8;ITGA2;CDH11;FBN1;MMP2;NECTIN1;ACTN1;VCAN;DSC3;CDH6;LIMA1;CERCAM;THY1;PARVA;AMIGO2;VCL;SHROOM2;PKD1;NEXN;ITGB1;SIRPA;MYH10;LDLRAP1;PARD6G;FSCN1;ACTG2;ICAM1;ADAM9;MYH9;NLGN2;FYB1;CDH4;CX3CL1;SPEG;CLDN14;MYL9;ADAMTS5;SHC1;VWF;CD276;PLCG1;MSN;MAPK11;ZYX;RRAS;NFASC;NECTIN3;ICAM5;CNN2;CTNND1;PTEN;FLNC;MAP3K20;MMP9;RASA1;PIK3CB;VCAM1;SRC;RAC2;ACTN4;PTK2;TJP1;CD209;JAM3;CD34;NF2;KRT31;RSU1;TSPAN4;MPZL1;MPZL2;TRO;NF1;NEGR1;CLDN19;TSC1;CD99;DLG1;THBS3;EXOC4;EPB41L2;NRXN2
gsea,Angiogenesis,0.797,2.305,0.001,0.003,0.009,23/36,10.70%,PDGFA;COL5A2;VAV2;JAG2;NRP1;VCAN;JAG1;POSTN;FSTL1;STC1;COL3A1;ITGAV;CXCL6;SLCO2A1;THBD;TNFRSF21;LRPAP1;APP;CCND2;PTK2;VEGFA;LUM;KCNJ8
gsea,Apoptosis,0.541,2.197,0.004,0.009,0.029,61/160,15.35%,ANKH;PLAT;BMP2;CCND1;PDGFRB;CAV1;TIMP3;SMAD7;MMP2;TNFRSF12A;IGFBP6;TGFB2;TIMP2;IGF2R;DPYD;F2R;FEZ1;DCN;TNF;CREBBP;ADD1;CD44;GNA15;BGN;IL1A;APP;ROCK1;SATB1;FAS;CYLD;TNFSF10;BCL2L2;EGR3;SPTAN1;CASP1;CCND2;RARA;PTK2;CFLAR;IER3;XIAP;PLPPR4;LUM;IL1B;EREG;JUN;LEF1;RNASEL;ERBB2;IFITM3;CDKN1A;NEDD9;DAP;ENO2;BCL2L11;IFNGR1;RELA;MADD;LMNA;PSEN1;CASP2
gsea,Apical Surface,0.643,2.174,0.001,0.009,0.032,20/44,10.97%,AFAP1L2;SULF2;GAS1;GATA3;CRYBG1;THY1;SHROOM2;EPHB4;SRPX;DCBLD2;CX3CL1;EFNA5;PCSK9;APP;NCOA6;RTN4RL1;ADAM10;PLAUR;NTNG1;PKHD1
gsea,Epithelial Mesenchymal Transition,0.790,2.139,0.001,0.011,0.039,143/200,11.46%,LAMA3;PMEPA1;TNC;LAMC2;LOXL2;COL16A1;MXRA5;COL12A1;COL5A1;COL5A2;COL5A3;LRP1;BMP1;TGFBI;SNAI2;COL6A3;GAS1;LAMA1;COL7A1;LOXL1;CALD1;ITGA2;BASP1;FBLN2;EFEMP2;PDGFRB;THBS2;NID2;CDH11;ITGA5;FBN1;TIMP3;FN1;DST;COL8A2;NT5E;MMP2;INHBA;COL6A2;COL1A1;COL11A1;FLNA;GPC1;VCAN;COL1A2;GJA1;DAB2;FBLN1;COMP;MMP1;SERPINE2;FAP;SGCD;LRRC15;FSTL3;MMP3;CDH6;POSTN;TNFRSF12A;FSTL1;FOXC2;TPM1;PTX3;SERPINE1;THY1;MYLK;COL4A2;PRRX1;COL3A1;ECM1;LAMA2;VEGFC;PTHLH;HTRA1;FMOD;MMP14;ITGAV;ITGB1;P3H1;ITGB3;SLIT3;NOTCH2;PCOLCE;ADAM12;PLOD1;LOX;CXCL6;LAMC1;ANPEP;GLIPR1;FZD8;SPOCK1;COL4A1;SERPINH1;TAGLN;DCN;ACTA2;FBLN5;CXCL1;GEM;TNFAIP3;PLOD3;CD59;ITGB5;TGFB1;CD44;SGCB;CTHRC1;PVR;ELN;MYL9;CCN1;BGN;CRLF1;PMP22;IGFBP4;TPM2;THBS1;FAS;SPARC;ECM2;CCN2;NTM;GREM1;AREG;VCAM1;TGM2;SLC6A8;CAP2;PLAUR;LGALS1;PLOD2;VIM;MATN3;VEGFA;TFPI2;LUM;EMP3;IL15;JUN;MFAP5;FERMT2;MATN2
gsea,p53 Pathway,0.526,2.135,0.002,0.010,0.04,79/199,17.69%,PDGFA;PTPN14;SLC35D1;VDR;ITGB4;BMP2;NOTCH1;RXRA;KRT17;JAG2;PLK2;NDRG1;EPHA2;CD82;PHLDA3;CCNK;TP63;SERPINB5;DDIT4;F2R;PLXNB2;CDH13;RNF19B;TGFA;TGFB1;LIF;PLK3;STEAP3;TAX1BP3;KIF13B;CLCA2;PTPRE;XPC;IL1A;APP;NHLH2;TNNI1;ZNF365;FBXW7;FAS;ERCC5;APAF1;ACVR1B;FOXO3;CASP1;ZFP36L1;DGKA;HSPA4L;POM121;PPP1R15A;IER5;CCND2;POLH;IER3;MXD1;SPHK1;ABAT;WWP1;BLCAP;ELP1;JUN;FOS;TM7SF3;RHBDF2;RB1;EPS8L2;CDKN1A;SDC1;ZBTB16;RAP2B;TCHH;SP1;DRAM1;GADD45A;MXD4;GM2A;CTSF;IRAG2;BAIAP2
gsea,Coagulation,0.607,2.124,0.002,0.011,0.048,53/138,12.24%,KLF7;CFH;LRP1;BMP1;PLAT;MMP10;ITGA2;FBN1;TIMP3;FN1;PLAU;MMP2;DUSP6;C9;COMP;MMP1;MMP3;SERPINE1;RAPGEF3;CFI;HTRA1;MMP14;ITGB3;PROC;ADAM9;CPQ;C1R;PDGFB;THBD;MMP7;PRSS23;CRIP2;CTSO;C1S;VWF;P2RY1;CTSK;MMP11;THBS1;SPARC;MMP9;GNG12;C3;SERPING1;CAPN2;FYN;F3;TFPI2;WDR1;CFB;PREP;CTSB;FURIN
