Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,PI3K-Akt signaling pathway,0.5831371040704088,2.557318237960408,1.000000e-03,3.171663e-03,2.000000e-03,136/353,17.01%,COMP;ITGB3;PIK3R6;ITGA11;LAMA2;HGF;FGF18;PIK3CG;ITGA8;GNG2;COL6A6;PIK3R5;ITGA9;FGF7;COL4A4;NTRK1;CREB3L1;FLT4;COL4A3;PDGFRA;TNN;GNG7;FLT3;VEGFC;ITGB7;IFNAR2;THBS2;GNGT2;TEK;TNXB;PDGFD;IL2RG;ITGA1;IL7R;JAK3;LAMA4;ITGA4;ITGB6;IL2RB;CSF3R;FGF1;TLR4;EREG;CD19;COL6A5;IL2RA;CSF1R;PRLR;OSM;GNG8;FGF10;COL9A2;IL2;LPAR4;ITGA10;IL7;COL6A3;ANGPT4;KIT;IGF1;PDGFRB;ITGA7;PDGFC;PRKCA;LAMC3;PDGFA;VTN;CSF1;LAMB4;AKT3;KDR;FLT3LG;FN1;PIK3CD;IL3RA;FGF20;AREG;ANGPT1;NTF3;NOS3;FASLG;FGF16;ANGPT2;GNG11;SGK2;ERBB4;TNR;THBS1;COL2A1;RELN;IRS1;FGF9;PDGFB;THBS4;JAK2;COL1A2;COL6A2;TCL1A;IL4R;COL6A1;LAMA3;EFNA5;CHAD;FLT1;COL1A1;VWF;FGF5;TNC;FGF23;COL4A2;TLR2;F2R;CCND2;LAMB1;EPOR;NR4A1;GH1;G6PC2;ITGA5;CSF3;IFNA1;PIK3AP1;IL4;IGF2;LAMC2;ITGA3;COL9A1;COL9A3;NGFR;FGFR1;COL4A1;IL3;JAK1;LAMB2;PTEN;PRL
gsea,Oxidative phosphorylation,-0.5189346469963728,-2.540717358244209,1.000000e-03,1.132426e-03,3.000000e-03,84/118,27.97%,NDUFA7;NDUFA13;ATP6V1E2;ATP4A;UQCRHL;ATP12A;NDUFS7;ATP6V1C2;UQCR11;NDUFB5;NDUFB9;COX11;NDUFA9;ATP6V0E2;ATP6V1B1;COX8C;ATP5MC1;COX6A1;NDUFA11;NDUFB2;ATP5MF;ATP5PD;COX7B;ATP5MC3;ATP5MG;ATP5ME;ATP5PO;NDUFB1;UQCR10;COX7A2L;COX5A;NDUFB6;ATP6V0A4;COX10;UQCRFS1;COX5B;ATP6V0A2;SDHD;NDUFA5;NDUFAB1;NDUFA6;UQCRQ;NDUFA12;NDUFS3;NDUFA8;NDUFA10;NDUFV3;COX6C;ATP5PF;NDUFB7;NDUFB8;NDUFS4;COX7A2;NDUFA2;NDUFC1;COX15;PPA2;NDUFB3;ATP6V1F;COX8A;SDHC;NDUFC2;ATP5F1C;NDUFB4;NDUFA1;ATP5F1D;CYC1;COX17;COX4I1;NDUFS8;UQCRB;UQCRC2;NDUFS2;COX6B1;UQCRH;ATP5MC2;UQCRC1;NDUFS1;ATP6V1G1;NDUFB11;COX7C;ATP5F1B;NDUFB10;ATP5F1E
gsea,Focal adhesion,0.646338749484709,2.4784244606080836,1.000000e-03,4.757495e-03,3.000000e-03,87/200,16.00%,COMP;ITGB3;ITGA11;LAMA2;HGF;ITGA8;COL6A6;RASGRF1;ITGA9;COL4A4;FLT4;COL4A3;PARVG;PRKCB;PDGFRA;TNN;VEGFC;ITGB7;THBS2;TNXB;ILK;SHC3;PAK3;PDGFD;ITGA1;LAMA4;ITGA4;ITGB6;FLNC;COL6A5;BIRC3;PPP1R12B;COL9A2;ITGA10;COL6A3;IGF1;MYLK;PDGFRB;ITGA7;PDGFC;PRKCA;LAMC3;VAV3;PDGFA;VTN;LAMB4;AKT3;KDR;FN1;PIK3CD;FYN;MYLK4;VAV1;TNR;THBS1;VAV2;COL2A1;RELN;PDGFB;THBS4;COL1A2;COL6A2;SHC2;COL6A1;LAMA3;CHAD;FLT1;COL1A1;CAV3;VWF;RAC2;TNC;COL4A2;MYL9;CCND2;LAMB1;CAV1;ITGA5;PXN;MYLK3;MYL10;LAMC2;ITGA3;COL9A1;COL9A3;COL4A1;PARVA
gsea,Tuberculosis,0.5804685298472712,2.4736456016489976,1.000000e-03,3.171663e-03,3.000000e-03,61/177,14.74%,TGFB2;CIITA;FCGR2C;ITGAM;FCGR2B;CAMK2A;TNF;MRC1;IL10RA;CR1;IL10;CD209;TLR4;HLA-DQA2;HLA-DOA;CR1L;CARD9;TGFB3;VDR;ITGAX;ATP6V0D2;FCGR1A;CLEC4E;LSP1;FCGR2A;NOD2;CYP27B1;HLA-DMB;CLEC7A;ITGB2;AKT3;HLA-DOB;HLA-DQA1;MRC2;TLR9;IRAK2;PLK3;HLA-DQB1;TLR1;TLR6;CORO1A;IL10RB;IL12B;C3;HLA-DPA1;JAK2;FCGR3A;HLA-DPB1;HLA-DMA;FCGR3B;HLA-DRB5;CLEC4M;CAMP;TLR2;CASP10;IL1B;TCIRG1;CD14;CALML5;IFNA1;CTSS
gsea,Kaposi sarcoma-associated herpesvirus infection,0.4965628486707173,2.4480152500170127,1.000000e-03,3.171663e-03,4.000000e-03,40/193,10.50%,PIK3R6;NFATC2;CCR4;PIK3CG;GNG2;PIK3R5;TCF7;CCR8;GNG7;CCR5;IFNAR2;GNGT2;ITPR2;ITPR1;CCR1;CSF2;HLA-G;TLR3;GNG8;CXCL2;CD86;PTGS2;CLEC2B;ICAM1;PREX1;CXCL3;FAS;CD200R1;AKT3;PIK3CD;NFATC1;IRF7;ANGPT2;GNG11;MICB;C3;PDGFB;JAK2;PLCG2;NFATC4
gsea,Leukocyte transendothelial migration,0.6158597849368869,2.4345090872690465,1.000000e-03,2.854497e-03,5.000000e-03,47/112,15.01%,JAM2;ITGAM;VCAM1;PRKCB;JAM3;ITK;CLDN9;CLDN14;ITGAL;RAPGEF3;RHOH;ITGA4;NCF1;CXCL12;CLDN2;CLDN18;NCF4;TXK;MMP9;THY1;CDH5;CYBB;ICAM1;CLDN5;PRKCA;VAV3;ITGB2;PIK3CD;CLDN11;CLDN6;MMP2;VAV1;VAV2;CLDN19;CLDN23;PLCG2;CLDN10;NCF2;ESAM;PECAM1;RAC2;RASSF5;MYL9;CTNNA3;CXCR4;PXN;MYL10
gsea,Proteoglycans in cancer,0.5393711050162658,2.4334422938222735,1.000000e-03,2.378747e-03,5.000000e-03,62/203,14.86%,ITGB3;TGFB2;ESR1;HGF;CAMK2A;TNF;PRKCB;WNT2;WNT10A;MRAS;ITPR2;ANK2;ITPR1;FLNC;TLR4;WNT6;ANK1;FZD4;IHH;PPP1R12B;MMP9;TWIST1;TWIST2;TIMP3;WNT1;IGF1;PRKCA;VAV3;FAS;VTN;WNT7A;HSPG2;AKT3;KDR;FN1;PIK3CD;WNT4;DCN;MMP2;HPSE2;FASLG;VAV1;ERBB4;THBS1;VAV2;IL12B;PLCG2;COL1A2;TIAM1;WNT9B;SDC2;WNT10B;WNT5B;PLAUR;COL1A1;CAV3;TLR2;FZD8;CAV1;ITGA5;PXN;IGF2
gsea,Toxoplasmosis,0.6326706342152612,2.407402990223416,1.000000e-03,3.398210e-03,9.000000e-03,44/110,16.82%,TGFB2;PIK3R6;LAMA2;CIITA;PIK3CG;PIK3R5;CD40LG;TNF;CCR5;IL10RA;ALOX5;IL10;LAMA4;BIRC7;TLR4;IRGM;HLA-DQA2;HLA-DOA;TGFB3;BIRC3;HLA-DMB;LAMC3;LAMB4;AKT3;HLA-DOB;HLA-DQA1;GNAO1;HLA-DQB1;IL10RB;IL12B;HLA-DPA1;JAK2;HLA-DPB1;HLA-DMA;LAMA3;HSPA2;HLA-DRB5;TLR2;LAMB1;LAMC2;CD40;LY96;JAK1;LAMB2
gsea,Ribosome biogenesis in eukaryotes,-0.5679471757913823,-2.3859525143451674,1.000000e-03,3.019804e-03,1.300000e-02,53/84,26.10%,REXO5;RPP40;SNORD3A;SNORD3C;RPP38;EMG1;UTP15;IMP3;RBM28;CSNK2A3;RPP25;LSG1;DKC1;RPP25L;WDR75;WDR43;NMD3;XPO1;POP7;POP5;CSNK2A2;UTP18;UTP4;WDR3;RIOK1;PWP2;UTP6;MPHOSPH10;RRP7A;POP1;IMP4;NXT1;NOB1;GTPBP4;RCL1;NOP58;SNU13;NAT10;NOP56;CSNK2A1;NXT2;NOP10;UTP14A;NHP2;SNORD3B-2;RPP30;FBL;CSNK2B;GNL3;HEATR1;RAN;AK6;POP4
gsea,Protein digestion and absorption,0.690635061882924,2.365926453375553,1.000000e-03,6.145097e-03,1.600000e-02,51/103,13.00%,COL14A1;XPNPEP2;DPP4;COL8A1;COL13A1;COL8A2;COL6A6;ELN;COL4A4;KCNN4;COL4A3;COL10A1;COL16A1;COL22A1;COL5A3;COL11A1;KCNK5;COL21A1;SLC7A7;COL15A1;COL23A1;COL12A1;KCNQ1;COL6A5;COL5A1;SLC8A3;SLC8A1;CPB2;MME;COL9A2;ATP1A4;COL6A3;ATP1A2;FXYD2;CPA3;COL5A2;MEP1A;COL18A1;COL24A1;SLC1A1;ATP1B2;SLC16A10;COL2A1;PRSS2;COL1A2;COL6A2;COL6A1;COL27A1;COL1A1;COL3A1;COL4A2
gsea,Human cytomegalovirus infection,0.48014271232788086,2.3642065156863956,1.000000e-03,5.638512e-03,1.700000e-02,54/223,14.98%,ITGB3;PTGER2;NFATC2;GNG2;CREB3L1;TNF;PRKCB;PDGFRA;GNG7;CCR5;GNGT2;PTGER3;IL10RA;ITPR2;ADCY4;ITPR1;CCR1;CXCL12;HLA-G;PLCB2;PTGER1;GNG8;CCL3;PTGS2;ADCY7;CGAS;PRKCA;PTGER4;FAS;AKT3;PIK3CD;CCL4;GNAO1;NFATC1;CCL2;ADCY1;FASLG;CCL3L3;CCL4L2;GNG11;IL10RB;NFATC4;IL1R1;STING1;RAC2;CCL5;HLA-F;IL1B;ADCY6;CXCR4;PXN;CALML5;IFNA1;TRAF5
gsea,JAK-STAT signaling pathway,0.6103278903315303,2.3565548920470154,1.000000e-03,5.867577e-03,1.800000e-02,77/162,20.04%,IL21R;STAT4;CSF2RA;CSF2RB;PDGFRA;IFNAR2;IL12RB1;IL22RA2;IL10RA;AOX1;IL2RG;IL10;IL7R;JAK3;IL15;IL2RB;CSF3R;CRLF2;IL5RA;IL11;IL2RA;PRLR;CSF2;IL9R;OSM;IL2;CISH;IL7;LIFR;IL11RA;IL12RB2;STAT5A;PDGFRB;IL13;PDGFA;AKT3;IL13RA2;PIK3CD;FHL1;IL3RA;LIF;IL20;LEPR;IL21;IL10RB;IL12B;PDGFB;JAK2;IL4R;IL15RA;IL22;IL24;CNTF;IL27RA;CCND2;EPOR;GH1;CSF3;IFNA1;IL4;IL6ST;IL3;IFNE;JAK1;IL23R;MPL;IL5;PRL;IFNW1;IFNA21;CSH1;IFNG;CCND1;IL6;IRF9;IFNA16;IFNA13
gsea,Chemokine signaling pathway,0.6551626534204872,2.3457981076247267,1.000000e-03,5.766660e-03,1.900000e-02,84/189,14.47%,PIK3R6;DOCK2;CCR4;PIK3CG;CCR2;GNG2;PIK3R5;ARRB1;CX3CR1;PRKCB;CCR8;GNG7;CCR5;ITK;RASGRP2;GNGT2;CXCR5;SHC3;CCR6;ADCY4;CCL23;JAK3;CXCR3;CCR7;CCR1;NCF1;CCL13;CCL14;CXCL12;CCL7;PLCB2;FGR;GNG8;CXCR6;CCL3;CXCL2;WAS;CCL1;CCR10;CXCL13;CCL22;CCL19;PPBP;ADCY7;CXCL11;PREX1;CCL21;VAV3;CXCL3;GRK5;AKT3;CCL28;PIK3CD;CCL16;CCL4;XCR1;CCL2;CCL25;ADCY1;CCL3L3;CCL4L2;GNG11;VAV1;PF4;VAV2;CXCL5;JAK2;PLCG2;SHC2;TIAM1;CCL11;CCL17;RAC2;CCL5;CCL8;CCR9;CCL18;ADCY6;CXCR4;CXCR1;CCL15;CXCL10;CXCL9;PXN
gsea,Ras signaling pathway,0.5708270469009468,2.3406964670472115,1.000000e-03,5.946868e-03,2.000000e-02,77/232,13.64%,PLA2G5;RASGRF2;RASGRP4;RASGRP3;HGF;FGF18;GNG2;RASGRF1;FGF7;NTRK1;FLT4;PRKCB;PDGFRA;GNG7;FLT3;VEGFC;RASGRP2;GNGT2;RASAL3;TEK;PLA2G4C;MRAS;SHC3;PAK3;PDGFD;PLA1A;RASA4B;ZAP70;FGF1;RASA3;PLA2G1B;CSF1R;ETS1;GNG8;FGF10;PLA2G2A;GRIN2A;ANGPT4;KIT;PLA2G2F;IGF1;PDGFRB;PDGFC;PRKCA;PDGFA;CSF1;AKT3;KDR;FLT3LG;PIK3CD;FGF20;GAB2;ANGPT1;NTF3;PLA2G4D;FASLG;FGF16;ANGPT2;RASA4;GNG11;PLA2G12B;FGF9;PDGFB;PLCG2;SHC2;TIAM1;EFNA5;FLT1;RAC2;RASSF5;FGF5;PLA2G4E;FGF23;RGL1;PLA2G2C;RASGRP1;SYNGAP1
