Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Apical Junction,0.57101112041296,2.3994502066999117,1.000000e-03,2.298761e-02,8.000000e-03,77/197,17.47%,NEXN;VCAM1;ITGA9;FYB1;ICAM2;FBN1;CDH11;JAM3;ACTG2;COL16A1;CADM3;CLDN9;CLDN14;ADRA1B;CDH6;ARHGEF6;ICAM5;NEGR1;FLNC;CD209;PTPRC;CDH15;TSPAN4;TNFRSF11B;VCAN;AMIGO2;CLDN18;ADAMTS5;MMP9;THY1;CD86;ITGA10;ICAM1;SLIT2;CLDN5;AKT3;TRAF1;CD34;ALOX15B;CLDN11;CLDN6;NFASC;RHOF;MMP2;TGFBI;VAV2;PCDH1;CLDN19;IRS1;LAMA3;ACTC1;BMP1;PKD1;CDH4;PECAM1;VWF;RAC2;SIRPA;MYL9;ACTN2;ACTN3;EVL;TRO;CDSN;LAMC2;KCNH2;ITGA3;SDC3;COL9A1;PARVA;ACTA1;RRAS;CERCAM;PTEN;NECTIN3;THBS3;MYH10
gsea,Complement,0.5953273412920983,2.3521027515511133,1.000000e-03,1.580398e-02,1.200000e-02,92/200,18.81%,GATA3;F5;F10;OLR1;DOCK10;DPP4;ITGAM;PIK3CG;ZFPM2;GNG2;FCN1;PIK3R5;CD40LG;GNGT2;MMP13;CPM;CR1;CFB;NOTCH4;GZMK;SPOCK2;LCP2;LCK;C2;WAS;ANG;C4BPB;CD36;DOCK4;SH2B3;ZEB1;CFH;CPQ;ERAP2;SERPINA1;PLA2G7;FN1;FYN;TFPI2;PLEK;TMPRSS6;IRF7;CASP5;MMP8;CR2;TIMP2;CDA;SERPING1;C3;PDGFB;KCNIP3;JAK2;CTSO;LTF;LRP1;ITIH1;HNF4A;CDH13;PLAUR;GZMA;EHD1;CCL5;F8;TNFAIP3;APOBEC3G;GP9;COL4A2;CASP10;ACTN2;C9;RASGRP1;CTSH;SERPINE1;IRF1;CTSS;DOCK9;SCG3;C1R;GP1BA;GZMB;C1S;FCER1G;APOC1;KLKB1;C1QC;PLAT;MMP12;DUSP5;CP;CA2;C1QA;HPCAL4
gsea,KRAS Signaling Up,0.6638987342350386,2.3506694475582264,1.000000e-03,1.053599e-02,1.200000e-02,114/200,18.52%,ITGBL1;DOCK2;BMP2;SPON1;GFPT2;AKAP12;INHBA;IKZF1;FLT4;KCNN4;SCN1B;CSF2RA;ADGRA2;EPHB2;IL10RA;ADAM8;GYPC;SNAP25;CMKLR1;RETN;IRF8;IL2RG;CFB;C3AR1;IL7R;F13A1;PRRX1;CD37;TLR8;CLEC4A;ABCB1;EREG;ALDH1A2;BIRC3;CSF2;HSD11B1;TMEM100;LAT2;SEMA3B;ETS1;ALDH1A3;MYCN;ANKH;NR0B2;MMP9;PEG3;ANO1;ST6GAL1;ETV1;PTGS2;PTPRR;PPBP;ACE;G0S2;ADGRL4;TMEM176A;CFH;SCG5;WNT7A;ITGB2;TNFRSF1B;SERPINA3;PCP4;TRAF1;GLRX;LIF;NRP1;SATB1;HDAC9;GNG11;RGS16;PRDM1;RBP4;RELN;VWA5A;FGF9;IL33;ADAMDEC1;MAP4K1;TMEM176B;GUCY1A1;LAPTM5;PLAUR;PDCD1LG2;CPE;LCP1;ENG;PECAM1;PLEK2;TNFAIP3;SOX9;IL1B;CCND2;CXCR4;CXCL10;CTSS;IGF2;PIGR;CAB39L;SCG3;TRIB1;TFPI;LY96;FCER1G;MMD;GADD45G;PLAT;ID2;APOD;EPB41L3;NR1H4;CA2;CCL20;HKDC1
gsea,IL-2/STAT5 Signaling,0.59519761370988,2.339395936891122,1.000000e-03,8.979536e-03,1.300000e-02,73/198,13.84%,PTH1R;PTGER2;ITIH5;TNFSF11;CCR4;BMP2;IRF4;TLR7;ADAM19;SHE;TNFRSF8;LTB;CTLA4;IL10RA;ICOS;RHOH;TNFRSF9;IRF8;IL10;NT5E;TNFRSF4;CD79B;GPR65;IL2RB;ABCB1;IL2RA;FGL2;CSF2;IL1RL1;SYT11;IL18R1;SELP;CISH;CD86;CD48;CST7;BATF;SLC39A8;TGM2;APLP1;SELL;GATA1;SMPDL3A;IL13;AGER;CAPN3;CSF1;TNFRSF1B;TRAF1;ENPP1;FLT3LG;CDKN1C;IL3RA;LIF;NRP1;EOMES;BATF3;SPRY4;PLIN2;GBP4;RGS16;SLC2A3;IL4R;TIAM1;COL6A1;LRRC8C;IKZF4;HOPX;MUC1;GLIPR2;GADD45B;CCND2;CXCL10
gsea,Coagulation,0.6020768325310207,2.3178796809351816,1.941748e-03,8.620355e-03,1.600000e-02,71/138,17.34%,COMP;ITGB3;F10;OLR1;DPP4;ACOX2;FBN1;CFI;RAPGEF3;CFB;RGN;CRIP2;CPB2;C2;PROC;ANG;MMP9;CTSE;TIMP3;MMP7;CTSK;F11;CFH;CPQ;KLF7;LEFTY2;SERPINA1;C8B;FN1;FYN;TFPI2;MEP1A;PLEK;TMPRSS6;PRSS23;FGG;FGA;MMP2;MMP8;PF4;THBS1;SERPING1;C3;PDGFB;CTSO;A2M;LRP1;ITIH1;HNF4A;BMP1;MMP3;PECAM1;VWF;F8;MMP1;HPN;GP9;MASP2;C9;CTSH;SERPINE1;C1R;GP1BA;C1S;C8A;APOC1;APOC2;CAPN5;KLKB1;SPARC;PLAT
gsea,IL-6/JAK/STAT3 Signaling,0.7130734258831138,2.26408547676314,1.000000e-03,1.125435e-02,2.400000e-02,47/87,15.73%,ITGB3;PIK3R5;TNF;CSF2RA;CSF2RB;IL12RB1;LTB;EBI3;IL2RG;ITGA4;CSF3R;CCR1;CRLF2;IL2RA;CSF2;CCL7;IL9R;IL18R1;PLA2G2A;IL7;CXCL13;CD36;ACVRL1;CXCL11;PDGFC;CXCL3;FAS;CSF1;TNFRSF1B;IL3RA;LEPR;PF4;IL10RB;IL4R;A2M;IL15RA;IL1R1;IL17RB;TLR2;IL1B;CD38;CXCL10;CD14;CXCL9;IRF1;IL6ST;TNFRSF12A
gsea,UV Response Dn,0.6110228828415035,2.260738993453091,1.912046e-03,9.851834e-03,2.400000e-02,59/143,16.87%,SYNE1;DLC1;ITGB3;SMAD7;CELF2;FBLN5;PTPRM;HAS2;MMP16;COL11A1;PTPN21;RGS4;INPP4B;PTGFR;FHL2;DAB2;PMP22;APBB2;KIT;PDGFRB;PRKCA;GRK5;AKT3;PIK3CD;MT1E;NRP1;TGFBR2;FYN;COL5A2;ICA1;MGLL;ADGRL2;CCN1;VAV2;DDAH1;IRS1;ARHGEF9;COL1A2;AMPH;SDC2;CDON;GCNT1;EFEMP1;COL1A1;RBPMS;MGMT;CITED2;KCNMA1;COL3A1;ATXN1;SERPINE1;SYNJ2;CAV1;PRKAR2B;CAP2;TFPI;LTBP1;PLPP3;PTEN
gsea,Apoptosis,0.46148189181127103,2.2420832245803184,5.703422e-03,9.338718e-03,2.600000e-02,45/160,18.80%,TGFB2;HGF;BMP2;SMAD7;TNF;CD69;PLPPR4;DPYD;EGR3;EREG;BMF;BIRC3;PLCB2;ANKH;TIMP3;PDGFRB;FAS;CD2;PRF1;SATB1;DCN;MMP2;FASLG;TIMP2;NEFH;MGMT;GADD45B;IL1B;BGN;F2R;CCND2;CD38;CD14;CAV1;IRF1;TNFRSF12A;CYLD;IGFBP6;RARA;GPX3;PLAT;CFLAR;LUM;NEDD9;CCND1
gsea,Angiogenesis,0.6943273941578261,2.2017303871287823,5.847953e-03,1.213235e-02,3.100000e-02,20/36,17.62%,OLR1;SLCO2A1;LPL;KCNJ8;VCAN;SERPINA5;PDGFA;VTN;NRP1;POSTN;COL5A2;APOH;PRG2;PF4;VAV2;COL3A1;FSTL1;CCND2;FGFR1;LUM
gsea,Epithelial Mesenchymal Transition,0.7153087001789494,2.1831380645178267,1.941748e-03,1.249951e-02,3.400000e-02,119/200,14.40%,COMP;ITGB3;SLIT3;SGCD;LAMA2;FAP;ABI3BP;ECM2;NID2;COL8A2;INHBA;VCAM1;ELN;GAS1;LRRC15;PMEPA1;FBN1;CDH11;FBLN5;COL16A1;NTM;VEGFC;COL5A3;GREM1;THBS2;PTX3;MATN3;CDH6;COL11A1;CADM1;NT5E;CDH2;ANPEP;RGS4;IL15;PRRX1;LOXL2;FBLN2;SFRP4;FSTL3;COL12A1;CXCL12;COL5A1;TNFRSF11B;FOXC2;VCAN;MXRA5;GEM;DAB2;CRLF1;EFEMP2;THY1;PMP22;TIMP3;COL6A3;FMOD;TGM2;SLIT2;APLP1;MYLK;PDGFRB;OXTR;SNTB1;IL32;ACTA2;TAGLN;FAS;FERMT2;GLIPR1;FN1;ADAM12;PCOLCE;LOX;POSTN;WIPF1;COL5A2;AREG;MGP;TFPI2;NNMT;DCN;TPM1;MMP2;TGFBI;CCN1;LOXL1;THBS1;BASP1;EMP3;PRSS2;CCN2;COL1A2;COL6A2;SPOCK1;MFAP5;CALD1;LRP1;EDIL3;LAMA3;CTHRC1;PLAUR;COL1A1;BMP1;MMP3;TNFAIP3;VIM;MMP1;TNC;COL3A1;COL4A2;GADD45B;MYL9;BGN;FSTL1;TPM2;FZD8;SERPINE1;PDLIM4;ITGA5
