Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Cytokine-cytokine receptor interaction,0.691,2.424,0.001,0.005,0.004,157/290,11.55%,INHBA;TGFB3;TNFRSF12A;IL11;IL7R;CSF2;IL32;TGFBR2;CCL2;CCL7;TNFRSF10D;CSF1R;CXCL5;BMP2;ACVRL1;TNF;LIF;CCR1;IL1B;TNFRSF1B;TNFRSF10C;CXCL2;OSM;CCL11;IL1A;CXCL3;CSF2RA;IL1R1;IL4R;CSF1;IL10;TGFB2;CD4;TNFSF13B;CCL13;CSF3;TNFSF11;IL15RA;CSF3R;FAS;IL16;IL24;CCR2;TNFSF4;CXCL11;PPBP;CCL21;IL2RA;IL1RL1;CCL23;IL10RA;CCR4;CSF2RB;TNFSF14;CXCR1;TNFRSF9;CCR8;ACKR4;IL13RA2;TNFRSF8;IFNAR2;CCL22;CCL3;IL2RB;BMP8A;EBI3;CCL5;CCL3L3;TNFSF8;CCR5;CCL8;EDA2R;IL6ST;OSMR;LTB;CXCL8;TNFSF12;IL2RG;CXCL1;CXCL12;BMP5;PF4;CXCL10;CCL4L2;CXCL13;CRLF2;CCL4;IL12RB1;IL21R;CCL20;GDF10;CXCR4;CD70;CX3CR1;IL20;TNFRSF4;IL3RA;TNFRSF19;CCL18;IFNL1;IL27RA;CLCF1;GDF5;IL15;IL12RB2;TNFRSF11B;TNFRSF10A;TNFRSF10B;TGFB1;IL5RA;CCL24;LEPR;CXCR6;IL6;TNFRSF17;IL17C;CD27;IFNK;CD40LG;IL33;CXCR3;IFNE;CCR10;IL27;CCL28;EPOR;TNFRSF14;IL18R1;IL7;CXCL16;IL9R;BMP6;CXCL6;CCR7;IL18RAP;BMPR2;CD40;IL18;BMPR1B;LTA;IFNA1;CCL19;PRLR;NGFR;CCR6;IFNL2;LIFR;IL1RAP;RELT;CCR3;IFNGR1;TNFSF13;IL1RN;IFNB1;CCL14;CCR9;IL6R
gsea,Coronavirus disease,0.499,2.382,0.001,0.005,0.007,68/228,13.50%,FCGR2A;NLRP3;NRP1;CSF2;CCL2;MMP1;C5AR1;C3AR1;TNF;CFB;IL1B;MMP3;C3;F13A1;C2;CYBB;CSF3;C4B;TLR7;AGTR1;C1S;C1R;C4A;IFNAR2;TLR2;TLR4;CGAS;IL6ST;IFIH1;CXCL8;TLR8;CXCL10;STING1;C1QC;FGG;C7;FGA;C1QA;C1QB;PIK3CD;TLR3;PRKCA;PRKCB;ISG15;VWF;IL6;RPS27L;FOS;JAK1;OAS2;C6;C8B;MAS1;IFNA1;ACE;SELP;FGB;TMPRSS2;IFNB1;OAS3;IL6R;JUN;PLCG2;STAT1;HBEGF;CASP1;C9;IFNAR1
gsea,Rheumatoid arthritis,0.782,2.361,0.001,0.005,0.009,58/89,8.99%,ICAM1;TGFB3;IL11;CTSK;CSF2;CCL2;MMP1;CXCL5;TNF;IL1B;MMP3;CXCL2;IL1A;CXCL3;CD80;CD86;CSF1;FLT1;TGFB2;TNFSF13B;TNFSF11;ITGB2;CTSL;CD28;HLA-DMA;HLA-DPA1;HLA-DMB;HLA-DQB1;HLA-DOA;HLA-DPB1;TEK;HLA-DRB5;TLR2;TLR4;CCL3;CCL5;CCL3L3;HLA-DQA1;LTB;CXCL8;CXCL1;CXCL12;CCL20;HLA-DRB1;CTLA4;ATP6V0D2;HLA-DRA;HLA-DQA2;IL15;TGFB1;IL6;ITGAL;FOS;ACP5;ATP6V1B2;TCIRG1;CXCL6;IL18
gsea,Protein digestion and absorption,0.678,2.302,0.001,0.008,0.019,39/103,7.26%,COL8A1;COL5A1;COL5A2;KCNN4;COL15A1;COL6A3;COL10A1;COL12A1;COL13A1;COL5A3;COL8A2;COL1A2;COL11A1;COL3A1;COL1A1;COL6A2;COL16A1;COL6A1;SLC7A7;DPP4;XPNPEP2;COL14A1;COL18A1;MME;KCNK5;COL4A2;COL4A1;PRSS2;ELN;COL22A1;COL6A6;CPA3;KCNQ1;COL23A1;COL4A4;COL4A3;PRSS1;COL21A1;SLC1A1
gsea,Phagosome,0.649,2.296,0.001,0.006,0.019,78/149,13.14%,ITGB3;FCGR2A;THBS2;COLEC12;THBS1;COMP;OLR1;FCGR2B;ITGA5;MRC2;C3;MRC1;FCGR3A;CD209;MSR1;NCF4;FCAR;CYBB;ITGAM;NCF2;ITGB2;CD14;FCGR2C;CTSL;ITGB1;TUBB3;FCGR3B;FCGR1A;HLA-DMA;HLA-DPA1;HLA-DMB;MARCO;HLA-DQB1;HLA-DOA;HLA-DPB1;C1R;HLA-DRB5;TLR2;TLR4;HLA-G;HLA-DQA1;HLA-F;CLEC7A;CTSS;HLA-DRB1;ATP6V0D2;CD36;CORO1A;ITGAV;TUBA1A;HLA-DRA;HLA-DQA2;NCF1;SFTPD;CYBA;MPO;HLA-B;ATP6V1B2;TCIRG1;STX7;TUBB6;HLA-C;TAP1;TAP2;DYNC2H1;HLA-E;HLA-A;STX12;ATP6V0D1;ITGA2;TUBA4A;RILP;SFTPA1;TLR6;SFTPA2;TUBB2A;THBS3;ATP6V1D
gsea,IL-17 signaling pathway,0.593,2.261,0.004,0.009,0.03,33/94,10.21%,CSF2;CCL2;CCL7;MMP1;MMP13;CXCL5;TNF;IL1B;MMP3;MMP9;CXCL2;CCL11;CXCL3;PTGS2;CSF3;TNFAIP3;CXCL8;CEBPB;CXCL1;CXCL10;CCL20;S100A9;IL6;S100A7;FOSB;IL17C;DEFB4A;FOS;CXCL6;S100A7A;FOSL1;MUC5B;S100A8
gsea,Leukocyte transendothelial migration,0.636,2.259,0.001,0.007,0.03,55/112,13.24%,ICAM1;THY1;MMP2;JAM2;MMP9;VCAM1;MYL9;NCF4;CDH5;CYBB;CLDN14;RAC2;ITGAM;NCF2;PXN;ACTN1;RAPGEF3;ITGB2;ESAM;CLDN23;RHOH;CLDN9;ITGB1;ITGA4;JAM3;PECAM1;VAV2;CXCL12;CLDN2;CXCR4;PIK3CD;PRKCA;PRKCB;ITK;VCL;NCF1;CLDN10;MSN;CYBA;SIPA1;ITGAL;CLDN6;GNAI2;VAV1;VASP;VAV3;CLDN19;CLDN18;RAP1A;MYL12A;RASSF5;PTK2B;PLCG2;CLDN5;BCAR1
gsea,Amoebiasis,0.674,2.258,0.002,0.007,0.03,47/101,8.99%,LAMA4;TGFB3;FN1;CSF2;COL1A2;COL3A1;COL1A1;TNF;IL1B;LAMC2;CXCL2;LAMA2;SERPINB9;CXCL3;IL1R1;IL10;TGFB2;ITGAM;ACTN1;ITGB2;CD14;COL4A2;COL4A1;TLR2;TLR4;CXCL8;CXCL1;LAMB1;SERPINB6;PIK3CD;CD1A;CD1D;PRKCA;PRKCB;LAMA3;VCL;LAMB2;COL4A4;LAMC3;TGFB1;GNA14;COL4A3;IL6;CD1E;CD1C;PLCB2;C8B
gsea,Osteoclast differentiation,0.684,2.254,0.001,0.006,0.033,73/126,14.48%,ITGB3;FHL2;FCGR2A;CTSK;TGFBR2;FCGR2B;LILRB3;CSF1R;LILRA5;OSCAR;TNF;LILRB2;IL1B;LCP2;MITF;LILRA6;FCGR3A;IL1A;IL1R1;CSF1;NCF4;TGFB2;TREM2;TNFSF11;NCF2;SPI1;LILRA2;SIRPA;LILRA1;FCGR2C;LILRB5;FCGR3B;FCGR1A;LILRB1;BTK;NFATC2;IFNAR2;TYROBP;BLNK;LILRB4;SIRPB1;FYN;PIK3CD;LCK;TNFRSF11B;TGFB1;NCF1;FOSB;SOCS3;CYBA;NFKB2;FOS;JAK1;ACP5;CYLD;RELB;FOSL1;LILRA4;IFNGR1;PPP3CB;IFNB1;SIRPG;GAB2;JUN;PLCG2;JUNB;STAT1;PPP3CA;IFNAR1;TAB2;IFNGR2;TGFBR1;PPP3CC
gsea,RNA transport,-0.525,-2.239,0.002,0.043,0.024,102/183,28.16%,ELAC1;THOC3;RPP14;EIF2B5;UPF3B;THOC1;FXR1;SENP2;RPP40;SMN1;RPP21;GEMIN6;EIF4EBP3;GEMIN4;PABPC1L;NUP88;NUP42;XPO1;NUP210;NCBP2;SEH1L;GLE1;POM121C;NUP205;NUP35;RPP25;TACC3;ALYREF;NUP214;POP1;UPF1;POM121;XPOT;XPO5;POP7;PABPC1L2A;NUP93;PNN;SNORD3B-2;NUP85;NCBP1;RAE1;EIF4A2;NUP37;FMR1;SNUPN;RPP25L;NUP188;CASC3;AAAS;MAGOHB;TGS1;THOC5;CLNS1A;RPP38;POP5;RBM8A;GEMIN2;GEMIN7;EIF4EBP1;EIF4A3;NUP50;DDX19A;NUP133;EIF4G1;NUP43;NUP107;THOC2;ELAC2;EIF4E;PABPC1L2B;SNORD3C;SUMO2;EIF2B4;PYM1;FXR2;EIF1AX;FUS;NUP153;DDX39B;RNPS1;DDX20;EIF3CL;RANGAP1;EIF4A1;PABPC3;NXT2;THOC7;KPNB1;NDC1;GEMIN5;ACIN1;TRNT1;TARDBP;EIF5B;NMD3;NXT1;NUP98;EIF2B1;EIF3J;UPF3A;SAP18
