Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Cytokine-cytokine receptor interaction,0.693,2.469,0.001,0.004,0.002,157/290,11.32%,INHBA;TGFB3;TNFRSF12A;IL11;IL7R;CSF2;IL32;TGFBR2;CCL2;CCL7;TNFRSF10D;CSF1R;CXCL5;BMP2;ACVRL1;TNF;LIF;CCR1;IL1B;TNFRSF1B;TNFRSF10C;CXCL2;OSM;CCL11;IL1A;CXCL3;CSF2RA;IL1R1;IL4R;CSF1;IL10;TGFB2;CD4;TNFSF13B;CCL13;CSF3;TNFSF11;IL15RA;CSF3R;FAS;IL16;IL24;CCR2;TNFSF4;CXCL11;PPBP;CCL21;IL2RA;IL1RL1;CCL23;IL10RA;CCR4;CSF2RB;TNFSF14;CXCR1;TNFRSF9;CCR8;ACKR4;IL13RA2;TNFRSF8;IFNAR2;CCL22;CCL3;IL2RB;BMP8A;EBI3;CCL5;CCL3L3;TNFSF8;CCR5;CCL8;EDA2R;IL6ST;OSMR;LTB;CXCL8;TNFSF12;IL2RG;CXCL1;CXCL12;BMP5;PF4;CXCL10;CCL4L2;CXCL13;CRLF2;CCL4;IL12RB1;IL21R;CCL20;GDF10;CXCR4;CD70;CX3CR1;IL20;TNFRSF4;IL3RA;TNFRSF19;CCL18;IFNL1;IL27RA;CLCF1;GDF5;IL15;IL12RB2;TNFRSF11B;TNFRSF10A;TNFRSF10B;TGFB1;IL5RA;CCL24;LEPR;CXCR6;IL6;TNFRSF17;IL17C;CD27;IFNK;CD40LG;IL33;CXCR3;IFNE;CCR10;IL27;CCL28;EPOR;TNFRSF14;IL18R1;IL7;CXCL16;IL9R;BMP6;CXCL6;CCR7;IL18RAP;BMPR2;CD40;IL18;BMPR1B;LTA;IFNA1;CCL19;PRLR;NGFR;CCR6;IFNL2;LIFR;IL1RAP;RELT;CCR3;IFNGR1;TNFSF13;IL1RN;IFNB1;CCL14;CCR9;IL6R
gsea,Coronavirus disease,0.501,2.444,0.001,0.003,0.003,68/228,13.25%,FCGR2A;NLRP3;NRP1;CSF2;CCL2;MMP1;C5AR1;C3AR1;TNF;CFB;IL1B;MMP3;C3;F13A1;C2;CYBB;CSF3;C4B;TLR7;AGTR1;C1S;C1R;C4A;IFNAR2;TLR2;TLR4;CGAS;IL6ST;IFIH1;CXCL8;TLR8;CXCL10;STING1;C1QC;FGG;C7;FGA;C1QA;C1QB;PIK3CD;TLR3;PRKCA;PRKCB;ISG15;VWF;IL6;RPS27L;FOS;JAK1;OAS2;C6;C8B;MAS1;IFNA1;ACE;SELP;FGB;TMPRSS2;IFNB1;OAS3;IL6R;JUN;PLCG2;STAT1;HBEGF;CASP1;C9;IFNAR1
gsea,Protein digestion and absorption,0.680,2.401,0.001,0.003,0.005,39/103,7.09%,COL8A1;COL5A1;COL5A2;KCNN4;COL15A1;COL6A3;COL10A1;COL12A1;COL13A1;COL5A3;COL8A2;COL1A2;COL11A1;COL3A1;COL1A1;COL6A2;COL16A1;COL6A1;SLC7A7;DPP4;XPNPEP2;COL14A1;COL18A1;MME;KCNK5;COL4A2;COL4A1;PRSS2;ELN;COL22A1;COL6A6;CPA3;KCNQ1;COL23A1;COL4A4;COL4A3;PRSS1;COL21A1;SLC1A1
gsea,Phagosome,0.651,2.401,0.001,0.002,0.005,78/149,12.89%,ITGB3;FCGR2A;THBS2;COLEC12;THBS1;COMP;OLR1;FCGR2B;ITGA5;MRC2;C3;MRC1;FCGR3A;CD209;MSR1;NCF4;FCAR;CYBB;ITGAM;NCF2;ITGB2;CD14;FCGR2C;CTSL;ITGB1;TUBB3;FCGR3B;FCGR1A;HLA-DMA;HLA-DPA1;HLA-DMB;MARCO;HLA-DQB1;HLA-DOA;HLA-DPB1;C1R;HLA-DRB5;TLR2;TLR4;HLA-G;HLA-DQA1;HLA-F;CLEC7A;CTSS;HLA-DRB1;ATP6V0D2;CD36;CORO1A;ITGAV;TUBA1A;HLA-DRA;HLA-DQA2;NCF1;SFTPD;CYBA;MPO;HLA-B;ATP6V1B2;TCIRG1;STX7;TUBB6;HLA-C;TAP1;TAP2;DYNC2H1;HLA-E;HLA-A;STX12;ATP6V0D1;ITGA2;TUBA4A;RILP;SFTPA1;TLR6;SFTPA2;TUBB2A;THBS3;ATP6V1D
gsea,Rheumatoid arthritis,0.784,2.376,0.001,0.002,0.006,58/89,8.79%,ICAM1;TGFB3;IL11;CTSK;CSF2;CCL2;MMP1;CXCL5;TNF;IL1B;MMP3;CXCL2;IL1A;CXCL3;CD80;CD86;CSF1;FLT1;TGFB2;TNFSF13B;TNFSF11;ITGB2;CTSL;CD28;HLA-DMA;HLA-DPA1;HLA-DMB;HLA-DQB1;HLA-DOA;HLA-DPB1;TEK;HLA-DRB5;TLR2;TLR4;CCL3;CCL5;CCL3L3;HLA-DQA1;LTB;CXCL8;CXCL1;CXCL12;CCL20;HLA-DRB1;CTLA4;ATP6V0D2;HLA-DRA;HLA-DQA2;IL15;TGFB1;IL6;ITGAL;FOS;ACP5;ATP6V1B2;TCIRG1;CXCL6;IL18
gsea,Leukocyte transendothelial migration,0.638,2.329,0.002,0.004,0.01,55/112,12.99%,ICAM1;THY1;MMP2;JAM2;MMP9;VCAM1;MYL9;NCF4;CDH5;CYBB;CLDN14;RAC2;ITGAM;NCF2;PXN;ACTN1;RAPGEF3;ITGB2;ESAM;CLDN23;RHOH;CLDN9;ITGB1;ITGA4;JAM3;PECAM1;VAV2;CXCL12;CLDN2;CXCR4;PIK3CD;PRKCA;PRKCB;ITK;VCL;NCF1;CLDN10;MSN;CYBA;SIPA1;ITGAL;CLDN6;GNAI2;VAV1;VASP;VAV3;CLDN19;CLDN18;RAP1A;MYL12A;RASSF5;PTK2B;PLCG2;CLDN5;BCAR1
gsea,Viral myocarditis,0.772,2.321,0.001,0.004,0.011,37/57,11.82%,ICAM1;SGCD;LAMA2;CAV1;CD80;CD86;RAC2;ITGB2;CD28;HLA-DMA;HLA-DPA1;HLA-DMB;HLA-DQB1;HLA-DOA;HLA-DPB1;HLA-DRB5;HLA-G;HLA-DQA1;HLA-F;FYN;HLA-DRB1;SGCA;CD55;HLA-DRA;HLA-DQA2;PRF1;ITGAL;CD40LG;DMD;HLA-B;SGCB;CD40;HLA-C;CCND1;HLA-E;HLA-A;ABL2
gsea,Focal adhesion,0.643,2.304,0.001,0.005,0.015,95/200,12.99%,ITGB3;VEGFC;LAMA4;ITGB6;ITGA1;THBS2;FN1;COL6A3;PDGFRB;THBS1;ITGA11;COMP;COL1A2;ITGA5;PDGFRA;COL1A1;COL6A2;COL6A1;ITGA3;PDGFB;PDGFC;LAMC2;HGF;FLT4;LAMA2;CAV1;MYL9;FLT1;RASGRF1;RAC2;PDGFA;MYLK;PXN;ACTN1;ITGA9;ITGB1;ITGA4;BIRC3;COL4A2;KDR;COL4A1;FLNC;TNN;ITGA8;PDGFD;VAV2;PARVA;LAMB1;PARVG;FYN;COL6A6;PIK3CD;ITGB7;SHC3;PRKCA;PTEN;ITGAV;ILK;PRKCB;TNC;LAMA3;VCL;LAMB2;COL4A4;LAMC3;VWF;COL4A3;FLNA;ZYX;TNXB;IGF1;COL6A5;VAV1;PAK3;VASP;VAV3;CCND1;LAMB3;ITGA10;PGF;PPP1R12B;CAPN2;RAP1A;MYL12A;DOCK1;FLNB;SHC4;ITGA2;JUN;SHC1;THBS3;ITGA7;TLN1;CAV2;BCAR1
gsea,JAK-STAT signaling pathway,0.575,2.280,0.001,0.007,0.022,75/162,15.35%,IL11;PDGFRB;IL7R;CSF2;PDGFRA;LIF;PDGFB;CISH;OSM;CSF2RA;IL4R;IL10;STAT4;PDGFA;CSF3;IL15RA;CSF3R;IL24;IL22RA2;IL2RA;IL10RA;CSF2RB;AOX1;IL13RA2;IFNAR2;IL2RB;IL6ST;JAK3;OSMR;IL2RG;CRLF2;IL12RB1;IL21R;STAT5A;PIK3CD;IL20;IL3RA;IFNL1;IL27RA;IL15;IL12RB2;IL5RA;LEPR;PIM1;IL6;SOCS3;IFNK;JAK1;IFNE;FHL1;CDKN1A;EPOR;IL7;IL9R;IFNA1;PRLR;CCND1;IFNL2;LIFR;IFNGR1;IFNB1;IL6R;IL13RA1;JAK2;IFNL3;STAT1;PRL;IFNAR1;GH2;IFNGR2;CCND3;IL3;IL2;IL4;IL10RB
gsea,Amoebiasis,0.676,2.275,0.001,0.007,0.024,47/101,8.79%,LAMA4;TGFB3;FN1;CSF2;COL1A2;COL3A1;COL1A1;TNF;IL1B;LAMC2;CXCL2;LAMA2;SERPINB9;CXCL3;IL1R1;IL10;TGFB2;ITGAM;ACTN1;ITGB2;CD14;COL4A2;COL4A1;TLR2;TLR4;CXCL8;CXCL1;LAMB1;SERPINB6;PIK3CD;CD1A;CD1D;PRKCA;PRKCB;LAMA3;VCL;LAMB2;COL4A4;LAMC3;TGFB1;GNA14;COL4A3;IL6;CD1E;CD1C;PLCB2;C8B
gsea,Leishmaniasis,0.745,2.272,0.001,0.006,0.025,40/74,7.41%,FCGR2A;TGFB3;TNF;IL1B;C3;FCGR3A;IL1A;IL10;NCF4;TGFB2;PTGS2;CYBB;ITGAM;NCF2;ITGB2;FCGR2C;ITGB1;ITGA4;FCGR3B;FCGR1A;HLA-DMA;HLA-DPA1;HLA-DMB;HLA-DQB1;HLA-DOA;HLA-DPB1;HLA-DRB5;TLR2;TLR4;HLA-DQA1;CR1;HLA-DRB1;HLA-DRA;HLA-DQA2;PRKCB;TGFB1;NCF1;CYBA;FOS;JAK1
