Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Viral protein interaction with cytokine and cytokine receptor,-0.7483420446913366,-2.080191418050709,4.000000e-03,2.937900e-01,1.260000e-01,67/97,9.22%,TNFRSF10C;CXCR1;CXCL2;CXCR2;IL20;TNFRSF1B;TNFRSF10D;CCR2;CXCL1;TNFRSF14;CCL21;PF4;CXCL3;CX3CR1;IL2RG;IL2RB;CCL23;TNFSF14;CCL20;CSF1R;CCL5;CXCL8;IL10RA;CCL19;CXCL6;TNF;CXCR4;CCR4;CSF1;CCR1;CXCL11;IL18RAP;CXCL12;CXCL10;CCL4;CCR6;IL19;CCR5;CCL28;IL18;CXCR3;CXCL5;CCR7;CCL22;IL2RA;CCL2;CCL3L3;IL10;CCL14;IL37;IL6ST;PPBP;CCR3;CCL25;CCR9;CCL4L2;CCL3;IL10RB;CXCL13;LTA;TNFRSF10B;CCL1;IL2;CXCR5;IL6R;CCL18;CXCL9
gsea,Type I diabetes mellitus,-0.7968103594470574,-2.0680442459131623,1.000000e-03,1.643825e-01,1.340000e-01,31/41,8.97%,HLA-DMA;HLA-DRB5;FAS;HLA-DPB1;HLA-DPA1;HLA-DOA;HLA-DMB;HLA-F;HLA-DQB1;CD86;TNF;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DOB;CD28;HLA-DQA2;HLA-C;ICA1;PRF1;HLA-B;GZMB;HLA-E;HLA-G;HLA-A;FASLG;CD80;LTA;IL2;IL1B;CPE
gsea,Inflammatory bowel disease,-0.7149825824603873,-2.058771446216168,5.928854e-03,1.170073e-01,1.410000e-01,43/63,14.13%,RORC;IL4R;HLA-DMA;HLA-DRB5;HLA-DPB1;HLA-DPA1;HLA-DOA;HLA-DMB;IL2RG;HLA-DQB1;GATA3;STAT4;TNF;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DOB;TLR5;IL12RB1;IL18RAP;TLR4;IL18;HLA-DQA2;TGFB2;IFNGR1;TLR2;IL21R;IL10;IL2;IL1B;FOXP3;IL13;TGFB3;IFNGR2;TBX21;IL12RB2;TGFB1;IL1A;JUN;IL6;STAT1;NFKB1;IFNG
gsea,Complement and coagulation cascades,-0.6937544071474201,-2.0534537091139278,1.968504e-03,9.204783e-02,1.450000e-01,54/85,10.55%,CFH;SERPINA1;C4BPA;C3;C4B;CFB;C4A;CFI;C7;F5;FGA;F2RL3;C2;FGG;C6;BDKRB1;SERPIND1;FGB;CD59;BDKRB2;TFPI;A2M;C5AR1;C3AR1;VSIG4;F8;SERPING1;SERPINE1;PLAUR;CLU;C1S;ITGB2;ITGAX;C4BPB;SERPINA5;C1QB;C1R;C1QA;C1QC;CR1;C9;PLAT;C8B;PROC;PLAU;F10;F11;ITGAM;THBD;CR2;CPB2;F13A1;CD55;CFD
gsea,Allograft rejection,-0.894409903054702,-2.049076654312213,1.000000e-03,7.592753e-02,1.450000e-01,30/35,8.24%,HLA-DMA;HLA-DRB5;FAS;HLA-DPB1;HLA-DPA1;HLA-DOA;HLA-DMB;HLA-F;HLA-DQB1;CD86;CD40LG;TNF;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DOB;CD28;HLA-DQA2;HLA-C;PRF1;IL10;HLA-B;GZMB;HLA-E;HLA-G;HLA-A;FASLG;CD80;CD40;IL2
gsea,Rheumatoid arthritis,-0.6717196703579934,-2.01611697705456,3.976143e-03,8.658961e-02,1.750000e-01,65/89,13.40%,CXCL2;ICAM1;HLA-DMA;HLA-DRB5;HLA-DPB1;HLA-DPA1;HLA-DOA;CXCL1;HLA-DMB;LTB;CXCL3;MMP1;TNFSF13;HLA-DQB1;CCL20;CCL5;ATP6V0A4;CD86;CXCL8;CXCL6;TNF;TCIRG1;HLA-DQA1;HLA-DRB1;TNFSF13B;HLA-DRA;HLA-DOB;CSF1;CXCL12;ITGB2;CD28;TLR4;IL18;HLA-DQA2;CXCL5;TGFB2;TLR2;CCL2;CSF2;ITGAL;IL15;CCL3L3;TEK;CTSK;CTSL;TNFSF11;ATP6V0D1;CCL3;FOS;CD80;IL1B;MMP3;TGFB3;ATP6V0B;ACP5;ANGPT1;ATP6V0D2;CTLA4;TGFB1;ATP6V1D;ATP6V1G2;ATP6V1B2;IL1A;JUN;IL6
gsea,Staphylococcus aureus infection,-0.6583887782201197,-1.9945096908549482,7.968127e-03,8.775544e-02,1.920000e-01,50/91,8.03%,CFH;PTAFR;C3;C4B;CFB;FPR1;FCGR3B;C4A;ICAM1;CFI;HLA-DMA;HLA-DRB5;HLA-DPB1;HLA-DPA1;FPR2;HLA-DOA;DEFB1;HLA-DMB;C2;FGG;SELPLG;FCGR2A;HLA-DQB1;FCGR2B;C5AR1;C3AR1;FCGR3A;HLA-DQA1;HLA-DRB1;HLA-DRA;FCAR;SELP;HLA-DOB;FCGR1A;KRT39;C1S;ITGB2;FPR3;C1QB;C1R;C1QA;C1QC;HLA-DQA2;FCGR2C;ITGAL;IL10;CAMP;DEFB4A;KRT23;ITGAM
gsea,Graft-versus-host disease,-0.8595202786997151,-1.9938198655896378,1.941748e-03,7.710396e-02,1.920000e-01,38/38,14.13%,HLA-DMA;HLA-DRB5;FAS;HLA-DPB1;HLA-DPA1;HLA-DOA;HLA-DMB;HLA-F;HLA-DQB1;CD86;TNF;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DOB;CD28;HLA-DQA2;HLA-C;PRF1;HLA-B;KLRC1;GZMB;HLA-E;HLA-G;HLA-A;FASLG;CD80;IL2;IL1B;KIR3DL1;KIR2DL1;KIR3DL2;KLRD1;KIR2DL3;IL1A;IL6;KIR3DL3;IFNG
gsea,Progesterone-mediated oocyte maturation,0.5170438243930283,1.9937200487105369,1.000000e-03,1.000000e+00,1.920000e-01,43/99,21.05%,PIK3CA;CDC25A;ADCY3;SPDYA;ANAPC1;BRAF;BUB1;SPDYE1;SPDYE3;PDE3B;SPDYE18;PIK3R2;PKMYT1;SPDYE17;MAD2L1;IGF1R;CDC25C;SPDYE2;KRAS;SPDYE6;PLK1;RPS6KA3;AKT3;CCNA2;CDK2;CCNB2;SPDYE5;ANAPC7;KIF22;CDC26;SPDYE16;MAPK12;ANAPC2;CDK1;FZR1;CDC23;CCNB1;AURKA;RPS6KA6;CCNB3;ANAPC10;MAPK10;SPDYE2B
gsea,Asthma,-0.8297732726468675,-1.9590450232978522,1.000000e-03,8.909791e-02,2.230000e-01,22/28,9.20%,HLA-DMA;HLA-DRB5;RNASE3;HLA-DPB1;HLA-DPA1;HLA-DOA;HLA-DMB;MS4A2;HLA-DQB1;FCER1A;CD40LG;TNF;HLA-DQA1;HLA-DRB1;HLA-DRA;PRG2;HLA-DOB;FCER1G;HLA-DQA2;IL10;CD40;IL13
gsea,Pertussis,-0.5627623791259126,-1.9550929009852904,1.616162e-02,8.285894e-02,2.280000e-01,32/76,8.28%,C4BPA;C3;C4B;C4A;LY96;C2;IRF1;NLRP3;SFTPA1;SFTPA2;CXCL8;CXCL6;TNF;SERPING1;IRF8;C1S;ITGB2;C4BPB;TLR4;C1QB;C1R;C1QA;C1QC;CD14;CASP1;CXCL5;ITGB1;IL10;TICAM2;FOS;ITGAM;IL1B
gsea,Leishmaniasis,-0.6553747399889268,-1.9419301841299863,1.800000e-02,8.209007e-02,2.400000e-01,48/74,13.57%,C3;FCGR3B;HLA-DMA;NCF4;HLA-DRB5;HLA-DPB1;HLA-DPA1;HLA-DOA;HLA-DMB;FCGR2A;HLA-DQB1;CYBA;TNF;FCGR3A;CYBB;HLA-DQA1;HLA-DRB1;HLA-DRA;HLA-DOB;PTGS2;FCGR1A;ITGB2;TLR4;NCF2;PRKCB;HLA-DQA2;CR1;JAK2;TGFB2;IFNGR1;TLR2;FCGR2C;NCF1;ITGB1;IL10;FOS;ITGAM;IL1B;JAK1;TGFB3;IFNGR2;ITGA4;TGFB1;MAPK11;IL1A;JUN;STAT1;NFKB1
gsea,Oocyte meiosis,0.46845622773714185,1.9267129504195177,2.028398e-03,1.000000e+00,2.590000e-01,59/128,29.44%,ESPL1;ADCY3;SPDYA;SGO1;ANAPC1;BUB1;SPDYE1;SPDYE3;SPDYE18;CCNE1;PKMYT1;SPDYE17;MAD2L1;IGF1R;CDC25C;SPDYE2;FBXO5;SPDYE6;PLK1;RPS6KA3;CDK2;CCNB2;CALML6;SPDYE5;ANAPC7;CDC26;SPDYE16;MAPK12;CUL1;ANAPC2;SMC1A;CDK1;CDC23;CCNB1;AURKA;RPS6KA6;PTTG1;ANAPC10;CDC20;SPDYE2B;PPP2R5D;CALML3;ADCY8;ADCY2;FBXO43;MOS;PPP2R1B;BTRC;PPP1CC;MAPK1;SMC3;STAG3;ADCY1;ADCY5;PPP2R5A;CPEB1;PRKACA;PPP1CB;PLCZ1
