Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Allograft Rejection,-0.647397717001073,-1.902320217925158,3.155819e-02,4.654920e-01,1.812627e-01,117/200,9.50%,FYB1;IFNAR2;IL4R;ICAM1;HLA-DMA;IRF7;NCF4;FAS;SRGN;LY86;DYRK3;PSMB10;HLA-DOA;CCR2;HLA-DMB;C2;ETS1;FGR;WAS;LTB;LCP2;PF4;CD4;NLRP3;IL2RG;IL7;IL2RB;IL16;CD79A;CCL5;CD86;GPR65;CD40LG;FCGR2B;STAT4;CTSS;GZMA;CCL19;SPI1;CD3E;TLR3;TNF;CD47;CD3D;CD74;HLA-DQA1;ST8SIA4;HLA-DRA;INHBA;CD247;IRF4;HLA-DOB;STAB1;CD2;CD3G;IRF8;CSF1;PTPRC;IL12RB1;CCR1;IL18RAP;SIT1;IGSF6;ITGB2;CD28;TIMP1;ITK;CCL4;CCND3;LIF;CD96;CCR5;IL18;LY75;PRKCB;CXCR3;TAP1;JAK2;TGFB2;IFNGR1;CCL22;IL2RA;GCNT1;TLR2;GBP2;B2M;CCL2;LCK;CD7;ITGAL;PRF1;IL15;LYN;THY1;IL10;TRAT1;ELANE;CFP;GZMB;TAPBP;HLA-E;HLA-G;CD8A;HLA-A;FASLG;CD80;EREG;CXCL13;CRTAM;CD40;IL2;IL1B;IL13;CXCL9;CAPG;IFNGR2;HDAC9
gsea,IL-6/JAK/STAT3 Signaling,-0.6216922526421615,-1.8926339539613468,2.777778e-02,2.480919e-01,1.924644e-01,55/87,13.51%,CSF3R;IL4R;FAS;CSF2RA;TNFRSF1B;CXCL1;CD36;TNFRSF12A;LTB;PF4;CXCL3;IRF1;IL15RA;IL2RG;IL7;A2M;TNF;ACVRL1;ITGB3;PLA2G2A;IL9R;CSF1;CSF2RB;IL12RB1;CCR1;CXCL11;PIK3R5;IL3RA;CXCL10;CD14;EBI3;IFNGR1;IL2RA;TLR2;CSF2;CRLF2;IL6ST;BAK1;IL1R1;IL10RB;TNFRSF21;CXCL13;OSMR;IL1B;CXCL9;IFNGR2;SOCS3;MAP3K8;ITGA4;TGFB1;IL13RA1;JUN;IL6;STAT1;IL17RB
gsea,Complement,-0.5246897405258293,-1.8711289363005998,3.427419e-02,1.841507e-01,1.995927e-01,96/200,10.52%,CTSH;CFH;SERPINA1;C3;CFB;CP;KYNU;LTF;IRF7;CPM;F5;PIK3CG;MMP13;CXCL1;CD36;CASP4;CASP10;C2;WAS;LCP2;GNGT2;IRF1;SPOCK2;OLR1;CCL5;S100A9;GATA3;CD40LG;CTSS;GNG2;TFPI2;CD59;CA2;GZMA;CEBPB;PSMB9;F8;S100A13;EHD1;SERPING1;CPQ;DUSP5;FCN1;GZMK;SERPINE1;FN1;PIK3R5;PLAUR;CLU;C1S;PLEK;TIMP1;C4BPB;CTSO;FCER1G;C1R;GP9;C1QA;C1QC;CASP1;CR1;JAK2;CTSB;CSRP1;C9;CASP9;LCK;DPP4;PLAT;CASP5;LYN;CTSD;GZMB;MSRB1;F10;ERAP2;CTSL;TIMP2;LGALS3;LAP3;ITGAM;ANG;APOBEC3G;PLA2G7;APOC1;PRSS36;ADAM9;CR2;GCA;ITIH1;SH2B3;CD55;LIPA;DOCK10;DUSP6;NOTCH4
gsea,Coagulation,-0.5314602575202076,-1.8589050857829867,1.984127e-02,1.477042e-01,2.046843e-01,67/138,9.29%,CRIP2;CTSH;CFH;CTSE;SERPINA1;ACOX2;C3;CFB;CFI;MMP7;RAPGEF3;FGA;COMP;TIMP3;C2;FGG;PF4;RGN;MMP1;OLR1;PRSS23;PECAM1;TFPI2;A2M;MMP2;ITGB3;F8;S100A13;SERPING1;CPQ;SERPINE1;FN1;CLU;C1S;PLEK;TIMP1;CTSO;MSRB2;HPN;C1R;GP9;C1QA;LEFTY2;THBS1;CTSB;CSRP1;C9;CASP9;DPP4;PLAT;C8B;SPARC;PROC;TF;CAPN2;PLAU;CTSK;F10;KLF7;F11;ANG;MMP3;APOC1;THBD;ADAM9;GNG12;CPB2
gsea,Interferon Gamma Response,-0.6192472892472284,-1.8477755563840557,4.930966e-02,1.261773e-01,2.097760e-01,121/197,14.42%,IFNAR2;CFH;ST3GAL5;IDO1;IL4R;CFB;FPR1;ICAM1;HLA-DMA;IRF7;FAS;SSPN;BATF2;IFITM2;PSMB10;VAMP5;CASP4;ZBP1;LCP2;P2RY14;SP110;IRF1;MT2A;IL15RA;CD69;CIITA;IL7;IL2RB;CCL5;SLAMF7;CD86;EPSTI1;BANK1;STAT4;IL10RA;GZMA;MVP;FGL2;IFI44;IFIT3;BST2;CD74;HLA-DQA1;ST8SIA4;HLA-DRB1;PSMB8;PSMB9;EIF4E3;SELP;IRF4;PTGS2;SERPING1;APOL6;OASL;IFIT2;IRF8;CSF2RB;ITGB7;SAMHD1;CXCL11;FCGR1A;IFI27;C1S;CXCL10;SAMD9L;IFI44L;ISG20;C1R;IFITM3;CMKLR1;CASP1;TAP1;LY6E;JAK2;UBE2L6;B2M;CCL2;IFIT1;IL15;HLA-B;TNFAIP6;TAPBP;IFI30;GBP4;OAS2;GPR18;IFIH1;HLA-G;HLA-A;ISG15;LAP3;VCAM1;CD40;CDKN1A;IL18BP;XAF1;CXCL9;DDX60;VAMP8;NLRC5;SOCS3;PSME2;SECTM1;ZNFX1;HELZ2;RSAD2;PSME1;PML;TNFAIP3;OAS3;IL6;STAT1;NFKB1;TXNIP;SRI;NMI;PNP;LGALS3BP;WARS1;CD38;CMPK2
gsea,Inflammatory Response,-0.5879329374718311,-1.8157193399632854,3.592814e-02,1.243301e-01,2.321792e-01,108/199,10.43%,PTAFR;ROS1;CSF3R;IL4R;SLC4A4;FPR1;ICAM1;RNF144B;IRF7;CCRL2;MEFV;CSF3;TNFRSF1B;GPR132;OSM;LCP2;SGMS2;IRF1;SELL;IL15RA;GPR183;CD69;NLRP3;IL2RB;BDKRB1;OLR1;CCL20;SCARF1;CCL5;AQP9;CXCL8;IL10RA;C5AR1;RGS1;PCDH7;CD48;IRAK2;CXCL6;C3AR1;TLR3;CYBB;BST2;KCNA3;INHBA;ITGB3;STAB1;CSF1;MSR1;SCN1B;SERPINE1;CXCL11;IL18RAP;PIK3R5;SELE;PLAUR;TIMP1;CXCL10;CXCR6;CD82;HPN;LIF;HRH1;PTGIR;PTGER2;IL18;CMKLR1;CD14;MARCO;FFAR2;AXL;P2RX7;EBI3;EMP3;LY6E;CCR7;CCL22;TLR2;SLAMF1;PROK2;IFITM1;CCL2;LCK;IL15;LYN;IL10;TNFRSF9;TNFAIP6;TAPBP;APLNR;IL1R1;EREG;LTA;OSMR;CD40;IL1B;IL7R;KLF6;P2RY2;CDKN1A;RGS16;CXCL9;IFNGR2;ADGRE1;CLEC5A;CCL17;CD55;HAS2;CD70
gsea,Myc Targets V2,0.6015458001995017,1.743960503228737,5.241935e-02,1.000000e+00,2.810000e-01,43/57,29.49%,PPAN;TMEM97;PLK4;HK2;SLC29A2;PUS1;NDUFAF4;TCOF1;NOP2;PLK1;MCM5;WDR43;UTP20;MYBBP1A;PRMT3;LAS1L;RABEPK;TBRG4;PES1;MPHOSPH10;MYC;MCM4;AIMP2;SLC19A1;CDK4;UNG;HSPD1;NOC4L;NOP16;DDX18;HSPE1;IPO4;NOP56;FARSA;TFB2M;RRP9;WDR74;RRP12;PA2G4;PPRC1;GNL3;BYSL;SUPV3L1
gsea,Interferon Alpha Response,-0.6298643373321321,-1.7219377633544803,7.228916e-02,1.644203e-01,2.942974e-01,60/97,15.04%,IL4R;TENT5A;IRF7;CCRL2;BATF2;IFITM2;UBA7;SP110;IRF1;SELL;IL7;EPSTI1;NCOA7;IFI44;IFIT3;BST2;CD47;CD74;PSMB8;PSMB9;TRIM5;OASL;IFIT2;CSF1;CXCL11;IFI27;C1S;CXCL10;SAMD9L;IFI44L;ISG20;IFITM3;CASP1;HLA-C;TAP1;LY6E;UBE2L6;GBP2;IFITM1;B2M;IL15;IFI30;GBP4;IFIH1;ISG15;LAP3;OAS1;PARP9;DDX60;PSME2;HELZ2;RSAD2;PSME1;TXNIP;NMI;LGALS3BP;WARS1;CMPK2;DHX58;HERC6
gsea,G2-M Checkpoint,0.5752352369337105,1.685735177204731,7.878788e-02,9.459752e-01,3.350000e-01,157/198,35.35%,BRCA2;CDC25A;ODC1;CHAF1A;FANCC;EZH2;TRAIP;KIF15;POLQ;ORC6;ESPL1;TROAP;CDC6;LIG3;KNL1;SMC2;CDC45;CENPA;RAD54L;AURKB;KIF4A;CENPE;GINS2;TTK;SMC4;POLE;BUB1;EXO1;DBF4;KIF23;CENPF;NDC80;PRC1;KIF11;PBK;CDC7;TRA2B;KMT5A;MAD2L1;POLA2;PLK4;E2F2;PRIM2;MKI67;RASAL2;HUS1;ORC5;CCNF;RBL1;TOP2A;ODF2;FBXO5;CASP8AP2;WRN;PLK1;CBX1;CCNA2;MCM2;SUV39H1;TPX2;XPO1;HIRA;BIRC5;MCM5;KPNA2;CCNB2;ATRX;TNPO2;HOXC10;NEK2;CCNT1;INCENP;LMNB1;DDX39A;SNRPD1;KIF22;NUP50;KIF20B;EGF;E2F1;CDKN3;SS18;DKC1;UPF1;CUL1;TMPO;SQLE;MYC;SMC1A;LBR;CDK1;MCM3;MCM6;STAG1;NUSAP1;AURKA;RACGAP1;CDK4;STIL;MNAT1;KIF2C;MTF2;CHEK1;PTTG1;ILF3;CKS2;MEIS2;PURA;MYBL2;RBM14;CDC20;SLC7A5;UBE2C;CKS1B;NSD2;EWSR1;G3BP1;NUP98;TENT4A;YTHDC1;PRMT5;SMARCC1;UBE2S;SLC38A1;KPNB1;HMMR;E2F4;SAP30;SMAD3;H2AX;HNRNPU;HNRNPD;NOTCH2;TLE3;AMD1;FOXN3;SRSF1;NUMA1;UCK2;ARID4A;HMGA1;NASP;PDS5B;TACC3;SLC7A1;CDC25B;PTTG3P;SYNCRIP;PAFAH1B1;KATNA1;CTCF;SRSF2;SFPQ;RPS6KA5;TFDP1;MAP3K20;CDC27
gsea,Spermatogenesis,0.43153644240087113,1.67276998180869,1.988072e-02,6.672317e-01,3.390000e-01,56/132,26.67%,POMC;RFC4;STRBP;EZH2;NCAPH;BRAF;TTK;RPL39L;BUB1;DBF4;PHF7;PIAS2;HSPA4L;SYCP1;ACRBP;TOPBP1;GSTM3;ARL4A;TLE4;GAPDHS;CSNK2A2;CCNB2;DMC1;DCC;DDX4;NEK2;CLPB;PCSK4;COIL;GMCL1;CDKN3;PGS1;CDK1;CCT6B;AURKA;DMRT1;KIF2C;ZPBP;NF2;MEP1B;PARP2;NEFH;PAPOLB;IDE;TKTL1;HBZ;PRKAR2A;ZC3H14;LPIN1;YBX2;HSPA1L;SNAP91;PHKG2;CNIH2;MLF1;PRM2
